
ID,PredictedPrice,ActualPrice,Difference,PercentDiff
14689,951249.2,920000,31249.199999999953,3.396652173913038
14690,992300.25,936000,56300.25,6.014983974358974
14691,840183.9,910000,69816.09999999998,7.672098901098899
14692,924476,936000,11524.0,1.2311965811965813
14693,847329.5,922000,74670.5,8.098752711496745
14695,981525.44,908000,73525.43999999994,8.097515418502196
14697,939328.06,945000,5671.939999999944,0.6002052910052851
14698,920559.8,950000,29440.199999999953,3.0989684210526267
14699,969767.4,900000,69767.40000000002,7.751933333333335
14700,940660,950000,9340.0,0.983157894736842
14701,970902.6,945000,25902.599999999977,2.7410158730158707
14702,906913.56,932000,25086.439999999944,2.6916781115879767
14703,924055.94,905000,19055.939999999944,2.105628729281762
14704,926523.5,930000,3476.5,0.37381720430107523
14706,902535.56,910000,7464.439999999944,0.8202681318681256
14707,984038.44,912000,72038.43999999994,7.898951754385959
14708,826169.2,918000,91830.80000000005,10.003355119825713
14710,976862.6,937500,39362.59999999998,4.198677333333331
14730,923548.1,900000,23548.099999999977,2.6164555555555533
14731,966429.9,900000,66429.90000000002,7.381100000000003
14732,1029086.2,900000,129086.19999999995,14.342911111111107
14749,907698.4,900000,7698.400000000023,0.8553777777777805
14750,870887.75,900000,29112.25,3.234694444444444
14751,935753.6,906000,29753.599999999977,3.2840618101545225
14754,982012.6,950000,32012.599999999977,3.36974736842105
14755,955144.1,916000,39144.09999999998,4.273373362445413
14756,1029508.4,945000,84508.40000000002,8.942687830687833
14757,1082824.9,900000,182824.8999999999,20.313877777777765
14758,863268.7,950000,86731.30000000005,9.129610526315794
14759,939523.4,938000,1523.4000000000233,0.1624093816631155
14774,897333.5,900000,2666.5,0.29627777777777775
14776,962085,901000,61085.0,6.77968923418424
14777,943101.25,927000,16101.25,1.7369201725997843
14778,1042645.1,931000,111645.09999999998,11.991954887218043
14779,825985,930000,104015.0,11.184408602150537
14780,1012812.2,930000,82812.19999999995,8.904537634408598
14781,932312.7,905000,27312.699999999953,3.017977900552481
14794,982675.56,998000,15324.439999999944,1.5355150300601146
14795,1312542.6,965000,347542.6000000001,36.01477720207255
14797,953699.06,990000,36300.939999999944,3.6667616161616103
14798,983118.5,985000,1881.5,0.19101522842639593
14799,997192.3,982000,15192.300000000047,1.5470773930753612
14800,1084984.4,990000,94984.3999999999,9.594383838383829
14802,928223.56,953000,24776.439999999944,2.599836306400834
14803,980738.7,965000,15738.699999999953,1.6309533678756427
14804,959245.8,951500,7745.800000000047,0.8140620073568099
14805,1029917.4,960000,69917.40000000002,7.283062500000002
14806,989596.56,984000,5596.560000000056,0.5687560975609813
14809,970397.7,960000,10397.699999999953,1.083093749999995
14812,998500.44,980000,18500.439999999944,1.8877999999999944
14813,1056234.2,975000,81234.19999999995,8.331712820512816
14814,920559.8,950000,29440.199999999953,3.0989684210526267
14815,941167,999000,57833.0,5.789089089089089
14816,940660,950000,9340.0,0.983157894736842
14817,985014.44,965000,20014.439999999944,2.074035233160616
14818,956364.56,960000,3635.439999999944,0.3786916666666609
14838,948368.56,980500,32131.439999999944,3.2770464048954553
14840,1050176.5,998000,52176.5,5.22810621242485
14841,974884.2,980000,5115.800000000047,0.5220204081632701
14842,1005064.1,968000,37064.09999999998,3.828935950413221
14853,982012.6,950000,32012.599999999977,3.36974736842105
14854,863268.7,950000,86731.30000000005,9.129610526315794
14855,1058882,990000,68882.0,6.957777777777778
14856,1055891.6,955000,100891.6000000001,10.564565445026188
14857,1005931.2,970000,35931.19999999995,3.7042474226804076
14858,1021502.1,997000,24502.099999999977,2.457582748244732
14873,1009792.4,985000,24792.400000000023,2.51699492385787
14874,1184309.4,951000,233309.3999999999,24.533059936908508
14875,1008760.4,980000,28760.400000000023,2.9347346938775534
14876,864567,960000,95433.0,9.940937499999999
14886,1088116.2,1055000,33116.19999999995,3.138976303317531
14890,1072659.6,1040000,32659.600000000093,3.140346153846163
14891,1101823.9,1058880,42943.89999999991,4.055596479298873
14892,1098145.1,1070000,28145.100000000093,2.630383177570102
14893,1191788.9,1001000,190788.8999999999,19.05983016983016
14895,1096938.4,1093800,3138.399999999907,0.28692631194001705
14896,1106785.1,1097000,9785.100000000093,0.8919872379216128
14897,1083527.2,1090000,6472.800000000047,0.5938348623853253
14900,1083816.4,1080000,3816.399999999907,0.35337037037036173
14901,1051304.1,1077000,25695.899999999907,2.3858774373258966
