SalePrice,date,id
1253722.0932481748,20170216,2254
1362788.824500124,20180505,X2254
1307760.4846175045,20160803,2255
1512929.1090894516,20180505,X2255
1318630.0924431423,20140419,2260
1815172.6446616848,20180505,X2260
1344313.934190671,20151010,2275
1624944.7414190096,20180505,X2275
1169217.1078012167,20150808,2298
1431988.8207797513,20180505,X2298
1253880.2162820252,20150718,2299
1536564.682613412,20180505,X2299
1383806.4641251315,20150611,2302
1717399.068172831,20180505,X2302
1182501.9798155103,20170515,2324
1245370.7136014693,20180505,X2324
1324425.876963689,20140628,2331
1767932.3873301987,20180505,X2331
1324879.762420088,20170225,2359
1418261.9874090746,20180505,X2359
1446399.4012404208,20161217,2360
1638543.5090105298,20180505,X2360
1433038.5434518128,20161022,2361
1641264.7356366192,20180505,X2361
1290872.0523673447,20140329,2374
1695012.8920569196,20180505,X2374
1481107.2701253928,20170722,2380
1563973.0350782203,20180505,X2380
1417428.9629391946,20170408,2383
1501254.5186230617,20180505,X2383
1587972.3115476463,20170320,2397
1710817.6928460423,20180505,X2397
1517118.9474302835,20170318,2398
1630741.7443720168,20180505,X2398
1491358.391171668,20161112,2402
1716872.049519089,20180505,X2402
1582596.0275817935,20141206,2418
2030532.887271393,20180505,X2418
1503810.2423909726,20161015,2426
1724024.1099073484,20180505,X2426
1494511.7951846384,20160806,2429
1704909.21739114,20180505,X2429
1391045.4011838979,20151107,2432
1695810.7355843245,20180505,X2432
1503552.4922170744,20150926,2433
1818258.040359534,20180505,X2433
1408418.6782421188,20150530,2434
1708080.1562715808,20180505,X2434
1470177.0752557998,20160521,2440
1693143.967151983,20180505,X2440
1583332.8219173625,20161210,2463
1782447.2773140494,20180505,X2463
1650300.9255688926,20160716,2468
1872911.1250018983,20180505,X2468
1607363.2178775214,20160528,2469
1811465.959844971,20180505,X2469
1713674.7948280175,20151212,2472
2039438.839147645,20180505,X2472
1724001.4668837625,20150512,2473
2068600.571770155,20180505,X2473
1851639.884757273,20150321,2474
2247698.4346906417,20180505,X2474
1653252.6318066884,20170617,2479
