,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2
20,,EIGHT,burwood,3125,20150428,WkDay,TuDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.0,42,43,4.189654742026425,N,N,N,N,108.5,116.5,6.398594934535208,1979,1.3862943611198906,0.0,11.19135563385109,0.0,1986,0,10.1,16.0,0.9555114450274363,17.0,0.5877866649021191,0.18232155679395465,0.9162907318741551,1.1216775615991057,1180000,1580000,15.6,GntlyInclnd,1400333,14.352004513273993,725000
21,,FIVE,burwood,3125,20150411,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,1.0986122886681098,56,35,3.970291913552122,Y,N,Y,N,108.5,116.5,6.3835066348840055,1955,1.3862943611198906,0.6931471805599453,13.815511557963774,6.111467339502679,2015,2010,11.6,23.7,0.0,18.7,0.9162907318741551,0.5877866649021191,0.6418538861723948,0.9202827531436926,1120000,1510000,16.8,GntlyInclnd,1138333,13.963931425151141,1170000
22,,NINE,burwood,3125,20141203,WkDay,WDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,64,30,3.9318256327243257,Y,N,Y,N,108.5,116.5,6.324358962381311,1980,1.3862943611198906,0.0,13.02805489573287,0.0,2005,0,16.2,23.9,0.0,20.4,1.0296194171811581,0.6418538861723948,0.7884573603642702,0.8197798314933114,1120000,1510000,15.2,GntlyInclnd,1263333,14.151983508870947,1330000
23,,THREE,burwood,3125,20151017,WkEnd,SDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,53,43,4.0943445622221,N,N,N,N,108.5,116.5,6.285998094508865,1964,1.0986122886681098,0.6931471805599453,13.223115088821102,5.8888779583328805,2012,2009,11.5,20.5,0.0,17.7,0.6418538861723948,0.4054651081081644,1.1631508098056809,0.7466879474879752,1060000,1640000,18.0,NrlyLvl,1355167,13.800397935382136,1400000
24,,NINE,burwood,3125,20150623,WkDay,TuDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.0,53,43,4.0943445622221,N,Y,Y,N,108.5,116.5,6.52649485957079,1980,1.0986122886681098,0.0,12.821260987319457,0.0,2004,0,9.6,17.6,0.0,19.6,1.1314021114911006,1.916922612182061,1.2237754316221157,0.6575200029167941,1080000,1430000,16.4,GntlyInclnd,1297833,13.711261646467772,1240000
25,,FOUR,burwood,3125,20150329,WkEnd,SDay,WrkngDy,sold,Hse,1.791759469228055,1.0986122886681098,1.0986122886681098,52,39,4.07753744390572,Y,N,Y,N,108.5,116.5,6.699500340161678,1980,1.3862943611198906,0.6931471805599453,12.180759965737863,6.111467339502679,1998,2010,8.5,22.7,0.0,18.8,0.18232155679395465,0.18232155679395465,1.0296194171811581,1.1346227261911428,1370000,1830000,0.0,NrlyLvl,1731000,13.972515161474428,1480000
26,,SIX,burwood,3125,20150321,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,42,43,4.189654742026425,N,N,N,N,108.5,116.5,6.385194398997726,1960,1.0986122886681098,1.6094379124341003,10.719980048331397,5.8888779583328805,1982,2015,11.9,22.7,0.0,16.9,0.262364264467491,0.262364264467491,0.9162907318741551,1.1346227261911428,1300000,1740000,15.6,GntlyInclnd,1353833,14.352004513273993,1270000
27,,NINE,burwood,3125,20170624,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,1.0986122886681098,64,15,3.9889840465642745,N,N,Y,N,108.5,116.5,6.478509642208569,1950,1.0986122886681098,1.0986122886681098,13.235693848424024,5.968707559985366,2009,2015,8.3,12.3,0.8754687373538999,16.1,0.6418538861723948,0.6931471805599453,0.4700036292457356,0.7747271675523681,975000,1290000,15.3,GntlyInclnd,1311667,14.322328762742183,1270000
28,,NINE,burwood,3125,20170429,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,53,43,4.0943445622221,N,N,Y,N,108.5,116.5,6.336825731146441,1960,0.6931471805599453,0.6931471805599453,0.0,5.707110264748875,0,2006,14.9,18.1,0.18232155679395465,17.8,0.6931471805599453,0.09531017980432487,1.1314021114911006,0.708035793053696,1030000,1360000,16.1,GntlyInclnd,1263833,13.711261646467772,1730000
29,,ONE,burwood,3125,20160604,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,51,49,3.912023005428146,Y,N,Y,Y,108.5,116.5,6.634633357861686,1950,0.6931471805599453,0.0,0.0,0.0,0,0,9.8,13.4,1.9740810260220096,16.9,0.832909122935104,0.09531017980432487,0.6418538861723948,0.5653138090500605,1120000,1510000,15.4,NrlyLvl,1308333,14.187074804051692,1900000
30,,EIGHT,burwood,3125,20160604,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,48,41,4.204692619390966,N,N,N,N,108.5,116.5,6.633318433280377,1950,0.6931471805599453,0.0,0.0,0.0,0,0,9.8,13.4,1.9740810260220096,17.8,0.4700036292457356,0.4700036292457356,1.547562508716013,0.8415671856782186,901000,1730000,0.0,NrlyLvl,1187333,13.711261646467772,891000
31,,,burwood,3125,20151201,WkDay,TuDay,WrkngDy,sold,Hse,1.6094379124341003,0.6931471805599453,0.6931471805599453,55,39,3.784189633918261,Y,N,Y,Y,108.5,116.5,6.587550014824796,1930,1.3862943611198906,1.0986122886681098,11.964007453736912,6.066108090103747,1994,2016,14.5,24.6,1.0296194171811581,17.0,1.33500106673234,0.6418538861723948,1.0296194171811581,0.6981347220709844,1120000,1510000,15.7,GntlyInclnd,1379250,14.166168133802548,1460000
32,ONE,THREE,burwood,3125,20150926,WkEnd,SDay,WrkngDy,sold,TwnHse,1.6094379124341003,1.3862943611198906,1.0986122886681098,53,43,4.0943445622221,Y,N,Y,N,108.5,116.5,6.637258031284457,2015,0.6931471805599453,0.0,0.0,0.0,0,0,6.6,17.9,0.0,19.7,0.832909122935104,0.832909122935104,1.62924053973028,0.6678293725756554,1060000,1640000,19.2,GntlyInclnd,913000,13.800397935382136,1400000
33,,SIX,burwood,3125,20150704,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,42,45,4.204692619390966,N,N,Y,N,108.5,116.5,6.548219102762372,1950,1.0986122886681098,1.0986122886681098,13.329379172803593,6.054439346269371,2011,2015,7.3,10.6,0.0,16.9,0.5877866649021191,0.4700036292457356,0.9555114450274363,0.8671004876833833,1080000,1430000,15.3,GntlyInclnd,1314500,14.054528245836039,1340000
34,,FIVE,burwood,3125,20160305,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,1.0986122886681098,72,14,3.6375861597263857,Y,N,Y,N,108.5,116.5,6.630683385642372,1955,1.0986122886681098,0.0,12.10625783509458,0.0,1998,0,20.4,23.7,0.7884573603642702,17.8,0.5877866649021191,0.8754687373538999,1.0986122886681098,0.9242589015233319,1240000,1660000,17.1,GntlyInclnd,1426667,14.187074804051692,1500000
35,,ONE,burwood,3125,20150817,WkDay,MDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,43,34,3.970291913552122,N,N,N,N,108.5,116.5,6.373319789577012,1980,1.3862943611198906,1.791759469228055,11.51293546492023,5.916202062607435,1995,2010,6.8,12.2,1.2237754316221157,17.1,0.08434114843375089,0.08434114843375089,0.9555114450274363,1.091923300517313,1080000,1430000,15.2,NrlyLvl,1208333,14.352004513273993,1340000
36,,FIVE,burwood,3125,20150605,WkDay,FDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.0,42,43,4.189654742026425,N,N,N,N,108.5,116.5,6.39024066706535,1980,0.6931471805599453,1.0986122886681098,0.0,5.87493073085203,0,2014,7.0,15.0,1.6486586255873816,17.1,0.4700036292457356,0.262364264467491,0.9932517730102833,1.1474024528375417,1240000,1660000,19.5,GntlyInclnd,1400333,14.352004513273993,725000
37,,NINE,burwood,3125,20170224,WkDay,FDay,WrkngDy,sold,Hse,1.3862943611198906,1.0986122886681098,1.0986122886681098,72,14,3.6375861597263857,Y,N,Y,N,108.5,116.5,6.612041034833092,1981,0.6931471805599453,0.0,0.0,0.0,0,0,15.8,20.0,0.8754687373538999,17.5,0.7419373447293773,0.7884573603642702,0.9162907318741551,0.9783261227936076,1120000,1510000,16.9,NrlyLvl,1376667,14.187074804051692,749900
38,,SIX,burwood,3125,20160625,WkEnd,SDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,51,49,3.912023005428146,Y,N,N,N,108.5,116.5,6.642486801367256,1955,1.6094379124341003,0.6931471805599453,13.61217085943569,6.2166061010848646,2011,2008,5.6,12.7,1.0986122886681098,17.3,0.9932517730102833,0.4054651081081644,0.7884573603642702,1.0188473201992472,1370000,1950000,23.1,NrlyLvl,1512500,14.291745358078465,1520000
39,,NINE,burwood,3125,20150718,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,56,35,3.970291913552122,N,Y,Y,Y,108.5,116.5,6.579251212010101,1960,1.0986122886681098,0.6931471805599453,13.060490101343552,5.860786223465865,2006,2007,6.1,11.5,0.33647223662121295,18.8,0.9555114450274363,0.5877866649021191,0.6418538861723948,0.9321640810304452,1180000,1580000,20.4,GntlyInclnd,1386833,13.963931425151141,1170000
40,,SIX,burwood,3125,20150328,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.0,66,17,3.8501476017100584,N,N,N,N,108.5,116.5,6.548219102762372,1950,1.0986122886681098,1.0986122886681098,10.645448706505872,6.018593214496234,1977,2016,12.7,19.1,0.0,16.4,0.6418538861723948,0.4054651081081644,0.6418538861723948,1.199964782928397,1370000,1830000,15.2,NrlyLvl,1724333,14.352004513273993,1270000
41,,NINE,burwood,3125,20150321,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,1.0986122886681098,1.3862943611198906,65,23,3.7612001156935624,Y,N,Y,N,108.5,116.5,6.493753839851686,1940,1.3862943611198906,0.0,13.594865133730668,0.0,2008,0,11.9,22.7,0.0,16.1,0.262364264467491,0.262364264467491,0.4700036292457356,1.184789984909162,1430000,1920000,0.0,NrlyLvl,1700000,14.054528245836039,1570000
42,THREE,THREE,burwood,3125,20170422,WkEnd,SDay,WrkngDy,sold,TwnHse,1.6094379124341003,1.3862943611198906,1.0986122886681098,43,44,4.23410650459726,N,N,Y,N,108.5,116.5,6.796823718274855,2004,0.6931471805599453,0.0,0.0,0.0,0,0,16.9,22.5,1.7227665977411035,17.8,0.09531017980432487,0.09531017980432487,1.0647107369924282,0.8064758658669484,1030000,1360000,18.1,GntlyInclnd,985667,13.997832948091215,1310000
43,,ONE,burwood,3125,20150816,WkEnd,SDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,52,39,4.07753744390572,N,N,N,N,108.5,116.5,6.505784060128229,1970,0.6931471805599453,0.0,0.0,0.0,0,0,4.7,17.0,0.18232155679395465,19.1,0.262364264467491,0.262364264467491,0.262364264467491,1.1568811967920856,1180000,1580000,0.0,NrlyLvl,1445000,13.972515161474428,1480000
44,,ONE,burwood,3125,20150711,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,1.0986122886681098,1.0986122886681098,52,19,3.6635616461296463,Y,N,Y,Y,108.5,116.5,6.1463292576688975,2002,1.0986122886681098,0.0,13.353476685668044,0.0,2007,0,10.9,13.1,0.18232155679395465,18.7,1.4350845252893227,0.6418538861723948,1.1939224684724346,0.5877866649021191,1300000,1740000,15.1,GntlyInclnd,1400000,14.030622744032508,1480000
45,,SIX,burwood,3125,20150321,WkEnd,SDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,52,19,3.6635616461296463,Y,N,Y,Y,108.5,116.5,6.222576268071369,2005,1.0986122886681098,1.0986122886681098,13.369225017834633,6.673297967767654,2005,2017,11.9,22.7,0.0,19.1,1.0647107369924282,0.262364264467491,1.1939224684724346,0.5306282510621704,1240000,1660000,14.6,NrlyLvl,1441667,14.166168133802548,1340000
46,,NINE,burwood,3125,20141002,WkDay,ThDay,WrkngDy,sold,Hse,1.6094379124341003,1.3862943611198906,1.0986122886681098,74,5,3.7376696182833684,Y,N,Y,N,108.5,116.5,5.707110264748875,2000,1.3862943611198906,0.0,13.049794835104816,0.0,2000,0,9.6,17.1,0.0,17.1,1.1631508098056809,0.832909122935104,0.9162907318741551,1.324418957401803,1430000,1920000,12.1,NrlyLvl,1015667,14.452087916136215,1680000
47,,FIVE,burwood,3125,20140905,WkDay,FDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,58,36,4.02535169073515,Y,N,Y,N,108.5,116.5,6.517671272912275,1950,0.6931471805599453,0.0,0.0,0.0,0,0,4.8,15.1,0.0,18.8,0.7884573603642702,0.18232155679395465,0.7419373447293773,1.269760544863939,1300000,1740000,20.2,NrlyLvl,1603333,13.972515161474428,965000
48,,FIVE,burwood,3125,20150605,WkDay,FDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.0,42,43,4.189654742026425,N,N,N,N,108.5,116.5,6.39024066706535,1980,0.6931471805599453,1.0986122886681098,0.0,5.87493073085203,0,2014,7.0,15.0,1.6486586255873816,17.1,0.4700036292457356,0.262364264467491,0.9932517730102833,1.1474024528375417,1240000,1660000,19.5,GntlyInclnd,1400333,14.352004513273993,725000
49,,EIGHT,burwood,3125,20160319,WkEnd,SDay,WrkngDy,sold,Hse,1.6094379124341003,0.6931471805599453,0.6931471805599453,41,64,4.343805421853684,N,N,Y,Y,108.5,116.5,6.548219102762372,1950,1.6094379124341003,0.0,13.447053620988642,0.0,2013,0,12.0,18.8,1.916922612182061,17.4,0.5877866649021191,0.18232155679395465,1.252762968495368,0.8586616190375187,1370000,1830000,15.3,GntlyInclnd,1621333,13.800397935382136,1300000
50,,THREE,burwood,3125,20151009,WkDay,FDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,0.6931471805599453,31,62,4.382026634673881,N,N,N,N,108.5,116.5,6.802394763324311,1980,1.0986122886681098,0.0,12.025755079404917,0.0,1989,0,10.9,29.9,0.0,18.0,0.7419373447293773,0.262364264467491,1.0647107369924282,0.9439058989071284,1300000,1740000,0.0,GntlyInclnd,1718333,13.700100828786772,1410000
51,,ONE,burwood,3125,20150926,WkEnd,SDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,58,36,4.02535169073515,N,N,Y,Y,108.5,116.5,6.519147287940395,1960,1.3862943611198906,0.6931471805599453,12.886643575525625,5.707110264748875,2004,2004,6.6,17.9,0.0,18.8,0.832909122935104,0.262364264467491,0.7884573603642702,1.2556160374777743,1300000,1740000,21.5,NrlyLvl,1475333,13.972515161474428,965000
52,,TWO,burwood,3125,20150704,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,1.3862943611198906,55,39,3.784189633918261,N,N,Y,N,108.5,116.5,6.755768921984255,1980,0.6931471805599453,0.0,0.0,0.0,0,0,7.3,10.6,0.0,17.0,1.252762968495368,0.5306282510621704,0.9932517730102833,0.712949807856125,1510000,2010000,0.0,GntlyInclnd,1458333,14.030622744032508,1730000
53,,FIVE,burwood,3125,20150613,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,1.0986122886681098,0.6931471805599453,41,64,4.343805421853684,N,N,Y,N,108.5,116.5,6.548219102762372,1960,1.6094379124341003,0.0,13.697853639354802,0.0,2014,0,6.0,18.2,0.0,17.1,0.6418538861723948,0.262364264467491,1.2237754316221157,0.9122827104766162,1370000,1830000,15.2,GntlyInclnd,1614333,14.363632544508476,1340000
54,,SIX,burwood,3125,20150314,WkEnd,SDay,WrkngDy,sold,Hse,1.3862943611198906,0.6931471805599453,1.0986122886681098,43,44,4.23410650459726,Y,N,Y,N,108.5,116.5,6.642486801367256,1960,0.6931471805599453,0.0,0.0,0.0,0,0,9.4,30.1,0.0,17.6,0.33647223662121295,0.5877866649021191,1.0647107369924282,0.8501509293696101,1370000,1830000,16.8,NrlyLvl,1724333,14.363632544508476,1000000
55,,SEVEN,burwood,3125,20150313,WkDay,FDay,WrkngDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,74,5,3.7376696182833684,N,N,Y,Y,108.5,116.5,6.20050917404269,1997,1.0986122886681098,0.0,11.657034466915164,0.0,1995,0,14.4,20.4,0.0,16.8,0.6418538861723948,0.5877866649021191,0.832909122935104,1.275362800412609,1510000,2010000,14.8,NrlyLvl,1733333,14.33430494661736,1600000
56,,SIX,burwood,3125,20180101,WkDay,MDay,HliDy,sold,Hse,1.6094379124341003,1.0986122886681098,1.0986122886681098,52,19,3.6635616461296463,N,N,Y,Y,108.5,116.5,6.226536669287466,2006,1.0986122886681098,1.0986122886681098,13.39239204133378,6.478509642208569,2006,2012,0.0,0.0,0.0,18.4,1.3862943611198906,0.7419373447293773,1.0986122886681098,0.636576829071551,1180000,1580000,14.1,NrlyLvl,1441667,14.166168133802548,1460000
