605,NA,TWO,burwood,3125,20161217,WkEnd,SDay,WrkngDy,sold,TwnHse,3,1,1,52,44,58,Y,N,Y,N,108.5,116.5,14750,1980,1,0,0,0,0,0,15.1,20.9,0,16.6,0.2,0.2,1.2,1.65,725000,955000,0,NA,831000,1270000,1340000,"802000
",burwood_20161217
606,ONE,THREE,burwood,3125,20161126,WkEnd,SDay,WrkngDy,sold,AptFlat,3,2,2,55,39,43,Y,N,Y,Y,108.5,116.5,349,1950,1,0,0,0,0,0,12.2,17.4,0,17.1,1.4,1,1.9,1.23,765000,1010000,18.2,GntlyInclnd,966667,1240000,1340000,"837500
",burwood_20161126
608,NA,TWO,burwood,3125,20160427,WkDay,WDay,WrkngDy,sold,Hse,4,1,2,69,26,42,Y,N,Y,Y,108.5,116.5,216,2016,4,0,76500,0,1998,0,13,25.4,0,19.4,1.3,0.2,0.7,2.28,880000,1170000,0,ModInclnd,1005333,1200000,840000,"835000
",burwood_20160427
611,FOUR,FIVE,burwood,3125,20150516,WkEnd,SDay,WrkngDy,sold,TwnHse,3,3,2,64,30,50,Y,N,Y,N,108.5,116.5,1150,2014,2,0,0,0,2014,0,11.3,16.2,0,18.7,1.1,0.3,0.4,1.63,975000,1290000,20.7,GntlyInclnd,886667,840000,780000,"845000
",burwood_20150516
612,NA,SIX,burwood,3125,20150318,WkDay,WDay,WrkngDy,sold,TwnHse,4,3,2,52,19,38,N,N,Y,Y,108.5,116.5,272,2007,3,0,658888,0,2012,0,17.8,24.4,1.4,19,2,0.2,2.4,0.66,925000,1230000,0,NA,1091667,1240000,1480000,"810000
",burwood_20150318
613,NA,SIX,burwood,3125,20150318,WkDay,WDay,WrkngDy,sold,TwnHse,4,3,2,52,19,38,N,N,Y,Y,108.5,116.5,272,2007,3,0,658888,0,2012,0,17.8,24.4,1.4,19,2,0.2,2.4,0.66,925000,1230000,0,NA,1091667,1240000,1480000,"810000
",burwood_20150318
614,TWO,EIGHT,burwood,3125,20141018,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,64,21,45,Y,N,Y,N,108.5,116.5,865,1990,3,0,430000,0,2005,0,8,24.6,0,16.1,0.7,0.3,0.7,1.25,845000,1110000,16.4,NrlyLvl,872000,840000,839000,"802000
",burwood_20141018
615,TWO,FIVE,burwood,3125,20140830,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,43,34,52,N,N,Y,Y,108.5,116.5,296,1998,3,2,527000,520,2007,2010,10.4,21.1,0,16.3,0.8,0.3,0.9,1.98,880000,1170000,15.5,GntlyInclnd,1058667,900890,1250000,"807500
",burwood_20140830
616,NA,ONE,burwood,3125,20140531,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,69,26,42,Y,N,N,Y,108.5,116.5,312,1996,6,0,470000,0,2006,0,7.5,18.9,0,19.3,2,0.1,0.6,2.24,1080000,1430000,0,GntlyInclnd,1268167,1410000,1190000,"800000
",burwood_20140531
617,NA,NA,burwood,3125,20140429,WkDay,TuDay,WrkngDy,sold,Hse,3,2,2,66,17,46,Y,N,N,N,108.5,116.5,382,1950,4,0,892000,0,2012,0,13.9,20.2,0,16.2,0.4,0.4,0.7,2.31,1370000,1830000,18.4,NrlyLvl,1327167,1710000,1270000,"820000
",burwood_20140429
618,NA,NINE,burwood,3125,20140315,WkEnd,SDay,WrkngDy,sold,Hse,4,2,1,42,43,65,Y,N,Y,N,108.5,116.5,608,1960,5,0,107000,0,1985,0,16.6,29.5,0,17.1,0.9,0.9,7.2,2.06,1120000,1510000,15.3,NrlyLvl,1420000,1130000,1710000,"815000
",burwood_20140315
626,NA,EIGHT,burwood,3125,20170624,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,1,66,48,68,N,N,Y,N,108.5,116.5,212,2013,2,1,660000,550,2014,2012,8.3,12.3,1.4,19.4,1.6,0.4,1.7,2.54,838000,1730000,0,NA,884000,891000,1410000,"835500
",burwood_20170624
627,FOUR,ONE,burwood,3125,20170621,WkDay,WDay,WrkngDy,sold,TwnHse,3,1,1,64,30,50,Y,N,Y,N,108.5,116.5,1187,2014,2,0,635000,0,2013,0,7.8,13.5,0.6,18.6,1.2,0.5,0.6,1.55,725000,955000,20.9,GntlyInclnd,824000,1160000,1170000,"838000
",burwood_20170621
631,NA,THREE,burwood,3125,20170218,WkEnd,SDay,WrkngDy,sold,TwnHse,3,1,2,59,39,52,N,N,N,N,108.5,116.5,253,1980,3,0,580000,0,2013,0,13.3,18.9,0,17.1,1,0.6,1.7,2.45,900000,1510000,0,ModInclnd,904667,1710000,1270000,"827000
",burwood_20170218
632,ONE,NINE,burwood,3125,20161210,WkEnd,SDay,WrkngDy,sold,AptFlat,3,2,1,57,33,61,Y,N,Y,Y,108.5,116.5,338,1958,1,1,0,350,0,2003,11.2,18.8,0.2,18.4,0.2,0.2,2.3,2.93,765000,1010000,0,NrlyLvl,884000,0,0,"841000
",burwood_20161210
634,ONE,SIX,burwood,3125,20160615,WkDay,WDay,WrkngDy,sold,TwnHse,3,2,1,51,49,49,Y,N,Y,Y,108.5,116.5,309,2002,2,0,380000,0,2002,0,6,17.9,0,17,0.2,0.2,0.9,0.75,765000,1010000,15.2,GntlyInclnd,872000,840000,839000,"830000
",burwood_20160615
636,NA,NINE,burwood,3125,20151104,WkDay,WDay,WrkngDy,sold,Hse,4,2,2,66,48,68,Y,N,Y,Y,108.5,116.5,252,2015,2,0,772000,0,2011,0,10.9,27.2,0,19.4,1.5,0.3,1.7,2.51,985000,1530000,0,NrlyLvl,1070333,1170000,985000,"850000
",burwood_20151104
638,TWO,FOUR,burwood,3125,20150712,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,43,44,68,Y,N,N,N,108.5,116.5,876,2015,1,0,0,0,0,0,3.4,12.3,1.6,17.7,0.5,0.2,1.8,1.4,1030000,1360000,0,GntlyInclnd,997667,840000,868000,"850000
",burwood_20150712
640,NA,NINE,burwood,3125,20150228,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,69,26,42,Y,N,Y,Y,108.5,116.5,480,1996,2,0,88000,0,1995,0,17.9,32.3,0,19.5,2.1,0.3,0.7,2.3,1030000,1360000,0,GntlyInclnd,1178333,1170000,1480000,"826000
",burwood_20150228
