SalePrice,id,lasso_preds,xgb_preds
1058228.8182643712,902,1090374.0260919589,983223.3
965348.2464571279,918,961351.6913673256,974673.5
1062319.4657051605,919,1059944.8170788009,1067860.2
1056037.799703233,920,1049615.5620760473,1071023.0
1113998.887117529,923,1127590.73159647,1082284.5
1059555.577052057,926,1081815.6011457958,1007615.5
948865.799349965,927,942549.0437142358,963604.9
1085972.035561909,928,1082514.2472312988,1094040.1
1108604.095774258,931,1138202.0564632257,1039542.2
1119349.6126562227,933,1088844.1341517465,1190529.0
971345.7436077488,934,950642.8480110697,1019652.44
1183185.7693344955,935,1164145.9204778506,1227612.0
929447.2738491351,936,901489.7662130503,994681.4
929824.856527727,937,907112.562896753,982820.2
1014249.397209616,939,1008182.4424423086,1028405.56
1071942.2255442743,942,1072422.822206106,1070820.8
1351545.3221600004,943,1412251.3977285724,1209897.8
1137525.0107086394,944,1151434.568869485,1105069.4
1067159.1093977503,945,1084746.0491396436,1026122.9
1075292.814037616,946,1125009.1093394512,959288.06
1187448.821941612,947,1194192.7813451602,1171712.9
1146145.6906096512,956,1129725.1830137873,1184460.1
1011515.1825962962,957,1002337.850137566,1032928.94
944331.04830579,958,946484.8011511287,939305.6
940149.0834784942,959,898628.1996121346,1037031.06
1072015.9329771376,961,1063064.1453244826,1092903.4
916845.8849798194,962,916406.7553283136,917870.44
1135771.7828538888,963,1158293.8862198412,1083220.1
1025823.4519964188,964,1013955.7796377412,1053514.6
936757.9219402705,965,922766.9867003865,969403.44
867294.4819704897,966,877921.8492435568,842497.25
1073817.7309513378,967,1103701.356716197,1004089.25
1072364.1056017873,968,1083760.374073982,1045772.8
1191971.3985398477,970,1202779.2746997825,1166753.0
1152415.725989641,972,1181607.6889137728,1084301.1
1229336.9546832293,973,1245474.3102617564,1191683.1
965938.597324033,1000,939246.8801057615,1028219.2
1097141.1642918622,1005,1102099.0293455175,1085572.8
1244956.813268852,1006,1240774.9118126458,1254714.5
1146937.4867806667,1008,1150737.3918295242,1138071.0
1036979.7799812312,1011,1038644.9089017588,1033094.44
1052665.592087485,1012,1063346.783339264,1027742.75
1052881.3237332245,1013,1067627.0696188922,1018474.5
1266260.1777701527,1015,1252668.5128859326,1297974.0
1089983.7755940983,1018,1092514.0097772833,1084079.9
1243614.8938986566,1019,1237212.3037837953,1258554.2
1015594.5362751227,1021,1001767.5964644611,1047857.3
1141430.7746422156,1022,1140861.7316317365,1142758.5
1063384.5124936625,1023,1040426.9821338039,1116952.0
1046941.3207902471,1024,997766.5743432101,1161682.4
1095626.6724046553,1025,1064671.5855780789,1167855.1
887856.072252185,1027,851896.7996459786,971761.0
1025208.6778967163,1028,1028444.6737810232,1017658.0
1054522.0457311997,1029,1039855.7349731424,1088743.4
1124956.948640669,1030,1109997.8730580986,1159861.4
1131548.1699407806,1031,1135203.5463439724,1123018.9
919139.4763808443,1032,887456.1269726347,993067.25
1140727.4585136953,1045,1136489.5835909932,1150615.8
1112003.4687200692,1048,1076423.9731715275,1195022.2
1041163.8511142001,1049,1041768.7605202859,1039752.4
1089382.147423571,1050,1091113.2016765298,1085343.0
1213927.9851390473,1051,1225488.9966272104,1186952.2
1065504.7525318393,1052,1074335.1375454848,1044900.5
1145523.4299420211,1053,1169741.1499171732,1089015.4
1162477.6968116453,1054,1158825.1918737788,1171000.1
1236603.825487224,1055,1202436.6256960342,1316327.2
1157544.0988822072,1062,1163326.034117439,1144052.9
1483553.3045552531,1065,1470942.5332932188,1512978.4
1149179.6244894022,1068,1149570.445699146,1148267.6
1358840.5798419137,1070,1431128.8194170194,1190168.0
1197248.8976735016,1072,1210048.0681050026,1167384.1
1358897.5032603138,1073,1356530.6743004483,1364420.0
1114912.0941110253,1075,1090577.0094443217,1171693.9
1242086.1145176915,1076,1308864.9850252736,1086268.8
1253958.7175170914,1077,1302572.0071672737,1140527.6
1153033.3748409166,1078,1194582.767629881,1056084.8
1180435.189160978,1079,1223851.34165854,1079130.8
1219887.3358499284,1080,1232777.8904998978,1189809.4
1171869.3516863454,1098,1135233.8506233506,1257352.1
1155281.6308492115,1099,1185322.776213159,1085185.6
1065768.8257544492,1101,1065404.6617920704,1066618.5
1108231.737796359,1104,1146460.1164947986,1019032.2
1298942.3792742877,1110,1294530.2293204109,1309237.4
1305213.698961855,1113,1275811.1324455072,1373819.6
1334329.2164904955,1114,1325315.443200708,1355361.2
1310271.9979810542,1117,1310520.5328300777,1309692.0
1292064.945707784,1118,1305200.5027968343,1261415.2
1389218.1545107232,1119,1401349.6403724619,1360911.2
933909.5746308673,1121,903856.758401239,1004032.75
1113868.471029089,1123,1087031.3425415559,1176488.4
1304290.3956265142,1124,1293084.047323592,1330438.5
1290138.3169202255,1125,1264807.1045288935,1349244.4
1237033.7960820398,1126,1243920.8694029143,1220963.9
1071350.2762974976,1127,1085952.939353568,1037277.3
1289299.586163417,1128,1274148.7838048816,1324651.4
1335680.8768072347,1130,1319402.457938907,1373663.8
1412713.5200550912,1131,1424364.7607929877,1385527.2
1327920.4582124872,1132,1342614.6724464104,1293633.9
1200537.8454650722,1133,1216366.6542358175,1163603.9
1271670.9794179532,1134,1273668.1848827905,1267010.8
1334624.4545301339,1137,1397357.7029001915,1188246.9
1379542.1429635282,1138,1372498.5078050403,1395977.2
1094628.4007349922,1139,1082787.2689071319,1122257.6
1416555.1314480074,1140,1468132.1520685821,1296208.8
1381487.1748924837,1141,1427304.8927035485,1274579.1
1445592.2567301719,1146,1486565.857828817,1349987.1
1174673.6024551643,1152,1153650.8606502349,1223726.6
1017921.3326127212,1153,992707.7519467447,1076753.0
1269040.9169439801,1154,1291455.193848543,1216740.9
1186816.6361686536,1155,1183152.3820266481,1195366.5
1174605.6688951338,1156,1169966.8037787627,1185429.6
1379507.0053590941,1159,1391246.659441563,1352114.4
1221375.2455238523,1160,1225524.1007483604,1211694.5
1158492.776907116,1161,1134117.2259387372,1215369.0
1316904.9640334796,1162,1297855.395047828,1361353.9
1313408.0866868761,1163,1306239.2756241087,1330135.2
1350781.0327530797,1164,1305213.9753615425,1457104.1
1271756.3882108289,1165,1263736.402801184,1290469.6
1212561.8546443097,1166,1205590.1941347283,1228829.0
1359728.3861401654,1167,1351868.2748430935,1378068.6
1311588.4604936535,1168,1311810.4792766483,1311070.4
1274298.7980803791,1169,1272969.2204719703,1277401.1
1131449.9033665783,1170,1115686.781595112,1168230.5
1203882.0753459819,1171,1219083.4558514026,1168412.1
1243348.4137020619,1172,1223693.4481458026,1289210.0
1195002.8384130904,1173,1151371.331661558,1296809.6
1305087.1263519712,1174,1297708.5287171016,1322303.8
