737,Conservatory Drive,NA,THREE,burwood,3125,20141206,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,64,21,45,Y,N,Y,Y,108.5,116.5,425,0,3,0,560000,0,2006,0,15.4,22.7,2.6,17.3,0.7,0.5,0.8,1.29,1120000,1510000,0,NA,1400033,1080000,1200000,"895000
"
740,Puerta Street,NA,THREE,burwood,3125,20141030,WkDay,ThDay,WrkngDy,sold,Hse,3,2,2,42,43,65,Y,N,N,N,108.5,116.5,588,2015,1,0,0,0,0,0,13.4,21.3,0,17,0.7,0.4,1.6,2.2,1240000,1660000,0,NA,1412500,1710000,725000,"900000
"
741,Keogh Street,NA,THREE,burwood,3125,20141025,WkEnd,SDay,WrkngDy,sold,Hse,3,2,5,55,39,43,Y,N,Y,Y,108.5,116.5,773,1950,6,0,425000,0,2004,0,14.1,18.2,0,17.1,2.4,0.6,1.9,1,1240000,1660000,15.9,NrlyLvl,1308333,1240000,1730000,"880000
"
742,Ellen Court,NA,ONE,burwood,3125,20141013,WkDay,MDay,WrkngDy,sold,Hse,3,1,1,56,35,52,N,N,Y,N,108.5,116.5,674,0,3,0,620000,0,2008,0,9.7,14.6,4.4,18.8,1.6,0.8,0.9,1.54,1030000,1360000,20.1,GntlyInclnd,1278500,1160000,1170000,"850000
"
743,Chandler Grove,NA,TWO,burwood,3125,20140821,WkDay,ThDay,WrkngDy,sold,Hse,3,1,1,55,39,43,N,N,N,N,108.5,116.5,779,1950,2,0,850000,0,2014,0,7.5,17.8,0,17,2.7,0.9,1.7,1.14,1180000,1580000,21.9,GntlyInclnd,0,1340000,1500000,"850000
"
745,Mccomas Grove,NA,FIVE,burwood,3125,20140301,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,41,64,76,N,N,Y,N,108.5,116.5,697,1960,4,0,889000,0,2014,0,14.5,22.3,0,17.1,0.9,0.3,2.4,1.49,1370000,1830000,15.2,GntlyInclnd,1614333,1730000,1340000,"889000
"
746,Morton Road,ONE,THREE,burwood,3125,20140301,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,51,49,49,N,N,Y,N,108.5,116.5,0,2000,4,2,850000,580,2014,2016,14.5,22.3,0,17.4,1.2,1,1.3,1.75,0,0,0,NA,0,1250000,882000,"850000
"
778,Gillard Street,NA,TWO,burwood,3125,20170627,WkDay,TuDay,WrkngDy,sold,TwnHse,2,2,1,47,48,71,Y,N,N,N,108.5,116.5,757,0,2,0,682000,0,2012,0,6,12.1,0,17.6,1,0.5,2.3,1.12,690000,910000,18.6,NrlyLvl,731167,1080000,1200000,"860000
"
781,Ireland Street,NA,ONE,burwood,3125,20151219,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,42,45,66,Y,N,N,N,108.5,116.5,430,1960,2,3,166600,395,1999,2011,19.2,41.2,0,16.7,0.3,0.3,1.7,1.54,880000,1170000,15.2,GntlyInclnd,1025333,1600000,1480000,"860000
"
783,Winton Street,NA,TWO,burwood,3125,20140823,WkEnd,SDay,WrkngDy,sold,Hse,4,1,0,56,35,52,Y,N,Y,Y,108.5,116.5,591,1960,3,0,340000,0,2005,0,7.4,20.7,0,25.6,0.9,0.078,0.5,1.6,1030000,1360000,18.0,NrlyLvl,1145000,1320000,1160000,"891000
"
784,Winton Street,NA,NA,burwood,3125,20140621,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,56,35,52,Y,N,Y,N,108.5,116.5,673,1950,2,2,500000,400,2007,2010,11.7,15.9,0,25.7,1.1,0.2,0.7,1.48,1080000,1430000,16.8,GntlyInclnd,1286833,1160000,1000000,"860000
"
789,Worrall Street,FOUR,SIX,burwood,3125,20171206,WkDay,WDay,WrkngDy,sold,TwnHse,4,2,2,69,26,42,N,N,N,N,108.5,116.5,1084,2015,2,0,802000,0,2015,0,13.6,21.3,0,19.3,0.3,0.3,0.3,2.17,0,0,15.5,NrlyLvl,872333,1200000,1310000,"912000
"
791,Aylwin Avenue,TWO,ONE,burwood,3125,20170429,WkEnd,SDay,WrkngDy,sold,TwnHse,2,2,1,66,17,46,N,N,Y,Y,108.5,116.5,248,2000,1,0,0,0,0,0,14.9,18.1,0.2,16.3,0.8,0.5,0.8,2.25,765000,1010000,0,NrlyLvl,707667,420000,653000,"925000
"
793,Pheasant Street,NA,TWO,burwood,3125,20161008,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,44,65,62,N,N,N,N,108.5,116.5,0,0,6,0,350000,0,2001,0,9.7,16.9,0,18.1,0.9,0.041,1,1.62,851000,1700000,0,NA,899667,901000,891000,"920600
"
794,Warrigal Road,NA,FIVE,burwood,3125,20160430,WkEnd,SDay,WrkngDy,sold,Hse,4,2,3,64,15,53,Y,N,N,N,108.5,116.5,650,1947,1,0,0,0,0,0,16.4,24.1,6.2,16.1,1,0.5,0.6,1.19,0,0,15.5,ModInclnd,1290000,2890000,2150000,"900000
"
