187,535022.389174 ,187,580000,187,187,
188,516852.416182 ,188,560600,188,188,
189,553161.060628 ,189,600000,189,189,
190,553161.060628 ,190,600000,190,190,
191,553161.060628 ,191,600000,191,191,
192,512136.469304 ,192,555000,192,192,
196,535022.389174 ,196,580000,196,196,
197,525936.187567 ,197,570000,197,197,
198,553161.060628 ,198,600000,198,198,
199,539594.232682 ,199,585000,199,199,
200,553161.060628 ,200,600000,200,200,
201,507563.861995 ,201,550000,201,201,
202,549855.722575 ,202,596000,202,202,
203,548670.279212 ,203,595000,203,203,
204,553161.060628 ,204,600000,204,204,
205,516715.487807 ,205,560000,205,205,
206,544053.574729 ,206,590000,206,206,
207,544053.574729 ,207,590000,207,207,
251,536842.560236 ,251,582000,251,251,
252,512136.469304 ,252,555000,252,252,
255,557542.13637 ,255,605000,255,255,
256,553161.060628 ,256,600000,256,256,
257,582905.361219 ,257,633000,257,257,
258,553161.060628 ,258,600000,258,258,
259,578684.97309 ,259,628000,259,259,
260,553161.060628 ,260,600000,260,260,
261,562226.383677 ,261,610000,261,261,
263,598756.044669 ,263,650000,263,263,
264,569479.533017 ,264,618000,264,264,
265,553947.162983 ,265,601000,265,265,
266,553947.162983 ,266,601000,266,266,
267,579698.093296 ,267,629000,267,267,
268,553161.060628 ,268,600000,268,268,
269,556868.773549 ,269,604000,269,269,
270,553161.060628 ,270,600000,270,270,
271,598756.044669 ,271,650000,271,271,
272,585460.961626 ,272,635500,272,272,
273,582905.361219 ,273,633000,273,273,
274,598756.044669 ,274,650000,274,274,
275,580466.409039 ,275,630000,275,275,
276,589609.205492 ,276,640000,276,276,
277,553161.060628 ,277,600000,277,277,
278,598756.044669 ,278,650000,278,278,
279,594325.286688 ,279,645000,279,279,
335,562226.383677 ,335,610000,335,335,
336,587907.396463 ,336,638000,336,336,
340,644092.812018 ,340,700000,340,340,
341,618761.172993 ,341,672000,341,341,
342,636752.335118 ,342,691850,342,342,
343,616880.252457 ,343,670000,343,343,
344,621391.843429 ,344,675000,344,344,
345,630452.072149 ,345,685000,345,345,
346,614927.243571 ,346,668000,346,346,
347,632701.428305 ,347,687500,347,347,
348,618761.172993 ,348,672000,348,348,
351,598756.044669 ,351,650000,351,351,
352,614927.243571 ,352,668000,352,352,
353,644092.812018 ,353,700000,353,353,
354,635058.480075 ,354,690000,354,354,
355,644092.812018 ,355,700000,355,355,
356,632701.428305 ,356,687500,356,356,
357,598756.044669 ,357,650000,357,357,
358,636813.873198 ,358,692000,358,358,
359,607825.338636 ,359,660000,359,359,
360,639569.275111 ,360,695000,360,360,
361,621391.843429 ,361,675000,361,361,
362,598756.044669 ,362,650000,362,362,
363,621391.843429 ,363,675000,363,363,
364,606320.166698 ,364,658000,364,364,
365,616880.252457 ,365,670000,365,365,
366,612378.543575 ,366,665000,366,366,
367,598756.044669 ,367,650000,367,367,
368,626751.484332 ,368,681000,368,368,
369,612378.543575 ,369,665000,369,369,
370,644092.812018 ,370,700000,370,370,
432,616880.252457 ,432,670000,432,432,
433,612378.543575 ,433,665000,433,433,
435,654570.412796 ,435,711500,435,435,
436,644910.032929 ,436,701000,436,436,
437,644092.812018 ,437,700000,437,437,
438,685964.713045 ,438,746000,438,438,
439,684945.266806 ,439,745000,439,439,
440,645765.856502 ,440,702000,440,440,
441,657679.814135 ,441,715000,441,441,
442,663844.070834 ,442,722000,442,442,
443,682247.102784 ,443,742000,443,443,
444,684945.266806 ,444,745000,444,444,
445,687812.823022 ,445,748000,445,445,
449,679603.044137 ,449,739000,449,449,
450,653472.711554 ,450,710500,450,450,
451,679603.044137 ,451,739000,451,451,
452,662195.915646 ,452,720000,452,452,
453,644092.812018 ,453,700000,453,453,
454,680399.996485 ,454,740000,454,454,
455,644092.812018 ,455,700000,455,455,
456,689499.310705 ,456,750000,456,456,
457,684945.266806 ,457,745000,457,457,
458,662195.915646 ,458,720000,458,458,
459,687812.823022 ,459,748000,459,459,
460,648561.744819 ,460,705000,460,460,
461,666765.86616 ,461,725000,461,461,
462,667513.865371 ,462,726000,462,462,
463,680399.996485 ,463,740000,463,463,
464,673130.0757 ,464,732000,464,464,
465,662195.915646 ,465,720000,465,465,
466,644092.812018 ,466,700000,466,466,
467,675783.697852 ,467,735000,467,467,
514,689465.611692 ,514,749900,514,514,
519,725873.542863 ,519,790000,519,519,
520,723567.531632 ,520,787500,520,520,
521,696107.94758 ,521,757000,521,521,
522,725873.542863 ,522,790000,522,522,
523,734973.452211 ,523,800000,523,523,
524,691673.164236 ,524,752500,524,524,
525,734973.452211 ,525,800000,525,525,
526,716818.963078 ,526,780000,526,526,
527,724113.622892 ,527,788000,527,527,
528,721299.513862 ,528,785000,528,528,
529,721299.513862 ,529,785000,529,529,
530,703216.824033 ,530,765000,530,530,
531,703216.824033 ,531,765000,531,531,
532,734973.452211 ,532,800000,532,532,
533,693997.477557 ,533,755000,533,533,
538,696459.495011 ,538,758000,538,538,
539,690281.809781 ,539,751000,539,539,
540,717469.714947 ,540,781000,540,540,
541,730425.782822 ,541,795000,541,541,
542,707705.317423 ,542,770000,542,542,
543,691310.352474 ,543,752000,543,543,
544,689499.310705 ,544,750000,544,544,
545,725873.542863 ,545,790000,545,545,
546,712272.554821 ,546,775000,546,546,
547,703216.824033 ,547,765000,547,547,
548,724113.622892 ,548,788000,548,548,
549,707705.317423 ,549,770000,549,549,
550,707705.317423 ,550,770000,550,550,
551,734973.452211 ,551,800000,551,551,
552,694906.181976 ,552,756000,552,552,
553,734973.452211 ,553,800000,553,553,
554,722300.392161 ,554,786000,554,554,
555,730425.782822 ,555,795000,555,555,
556,698581.671491 ,556,760000,556,556,
605,736597.76973 ,605,802000,605,605,
606,769270.926436 ,606,837500,606,606,
607,774119.198505 ,607,843000,607,607,
608,766832.653718 ,608,835000,608,608,
609,734973.452211 ,609,800000,609,609,
610,734973.452211 ,610,800000,610,610,
611,775766.463311 ,611,845000,611,611,
612,744018.431864 ,612,810000,612,612,
613,744018.431864 ,613,810000,613,613,
614,736597.76973 ,614,802000,614,614,
615,742115.723797 ,615,807500,615,615,
616,734973.452211 ,616,800000,616,616,
617,753143.958071 ,617,820000,617,617,
618,748782.11162 ,618,815000,618,618,
624,771298.361929 ,624,840000,624,624,
625,757618.272178 ,625,825000,625,625,
626,766859.042224 ,626,835500,626,626,
627,769446.284928 ,627,838000,627,627,
628,739609.740323 ,628,805000,628,628,
629,746642.593765 ,629,813000,629,629,
630,762244.916611 ,630,830000,630,630,
631,759332.583777 ,631,827000,631,631,
632,771814.84182 ,632,841000,632,632,
633,769044.817015 ,633,837000,633,633,
634,762244.916611 ,634,830000,634,634,
635,751797.001138 ,635,818000,635,635,
636,780367.359982 ,636,850000,636,636,
637,759794.735877 ,637,827250,637,637,
638,780367.359982 ,638,850000,638,638,
639,739609.740323 ,639,805000,639,639,
640,758323.359185 ,640,826000,640,640,
641,746864.550204 ,641,813500,641,641,
642,771298.361929 ,642,840000,642,642,
643,769270.926436 ,643,837500,643,643,
644,775766.463311 ,644,845000,644,644,
645,749125.72929 ,645,816000,645,645,
646,734973.452211 ,646,800000,646,646,
647,780367.359982 ,647,850000,647,647,
648,778648.37986 ,648,848000,648,648,
649,780367.359982 ,649,850000,649,649,
650,734973.452211 ,650,800000,650,650,
651,777173.411856 ,651,846000,651,651,
652,753143.958071 ,652,820000,652,652,
653,771298.361929 ,653,840000,653,653,
654,775766.463311 ,654,845000,654,654,
655,764904.731308 ,655,833000,655,655,
656,780367.359982 ,656,850000,656,656,
657,770652.987766 ,657,839000,657,657,
698,773213.886216 ,698,842000,698,698,
699,766832.653718 ,699,835000,699,699,
700,753143.958071 ,700,820000,700,700,
701,742335.862557 ,701,808000,701,701,
702,753143.958071 ,702,820000,702,702,
703,776279.087183 ,703,845600,703,703,
706,812234.86466 ,706,885000,706,706,
707,793956.183404 ,707,865000,707,707,
708,807627.191465 ,708,880000,708,708,
709,790035.711668 ,709,861000,709,709,
710,825809.996031 ,710,900000,710,710,
711,803167.818244 ,711,875000,711,711,
712,794093.559565 ,712,865500,712,712,
713,798540.56342 ,713,870000,713,713,
714,806376.115553 ,714,878000,714,714,
715,812234.86466 ,715,885000,715,715,
716,797152.961397 ,716,868000,716,716,
717,790035.711668 ,717,861000,717,717,
718,787349.57744 ,718,857500,718,718,
722,809004.543251 ,722,882000,722,722,
723,817506.383075 ,723,891000,723,723,
724,797152.961397 ,724,868000,724,724,
725,798540.56342 ,725,870000,725,725,
726,781173.017626 ,726,851000,726,726,
727,803906.096483 ,727,876000,727,727,
728,789439.716959 ,728,860000,728,728,
729,780367.359982 ,729,850000,729,729,
730,788978.092704 ,730,858888,730,730,
731,780367.359982 ,731,850000,731,731,
732,798540.56342 ,732,870000,732,732,
733,791376.773091 ,733,862000,733,733,
734,825809.996031 ,734,900000,734,734,
735,782768.726084 ,735,852500,735,735,
736,821161.075087 ,736,893888,736,736,
737,821488.027594 ,737,895000,737,737,
738,817506.383075 ,738,891000,738,738,
739,784905.900204 ,739,855000,739,739,
740,825809.996031 ,740,900000,740,740,
741,807627.191465 ,741,880000,741,741,
742,780367.359982 ,742,850000,742,742,
743,780367.359982 ,743,850000,743,743,
744,798540.56342 ,744,870000,744,744,
745,816227.613674 ,745,889000,745,745,
746,780367.359982 ,746,850000,746,746,
778,789439.716959 ,778,860000,778,778,
779,817932.174545 ,779,892000,779,779,
780,798540.56342 ,780,870000,780,780,
781,789439.716959 ,781,860000,781,781,
782,806376.115553 ,782,878000,782,782,
783,817506.383075 ,783,891000,783,783,
784,789439.716959 ,784,860000,784,784,
789,836263.439342 ,789,912000,789,789,
790,862742.300261 ,790,941000,790,790,
791,848650.358413 ,791,925000,791,791,
792,857712.17533 ,792,935000,792,792,
793,844638.549821 ,793,920600,793,793,
794,825809.996031 ,794,900000,794,794,
795,853220.259739 ,795,930000,795,795,
796,853220.259739 ,796,930000,796,796,
797,849788.778004 ,797,927000,797,797,
798,840538.552141 ,798,917000,798,798,
805,826586.166667 ,805,901000,805,805,
806,853220.259739 ,806,930000,806,806,
807,871356.971791 ,807,950000,807,807,
808,827416.26263 ,808,902000,808,808,
809,827416.26263 ,809,902000,809,809,
810,857712.17533 ,810,935000,810,810,
811,834890.900089 ,811,910000,811,811,
812,867116.666476 ,812,945000,812,812,
813,830447.748632 ,813,905000,813,813,
814,857712.17533 ,814,935000,814,814,
815,851744.61441 ,815,928000,815,815,
816,871356.971791 ,816,950000,816,816,
817,830447.748632 ,817,905000,817,817,
818,862275.77579 ,818,940000,818,818,
819,839551.227232 ,819,914250,819,819,
820,844664.796432 ,820,920800,820,820,
821,871356.971791 ,821,950000,821,821,
822,870764.469163 ,822,949000,822,822,
823,871356.971791 ,823,950000,823,823,
824,825809.996031 ,824,900000,824,824,
825,840538.552141 ,825,916888,825,825,
826,835686.032766 ,826,911000,826,826,
827,853220.259739 ,827,930000,827,827,
828,825809.996031 ,828,900000,828,828,
829,834890.900089 ,829,910000,829,829,
830,870764.469163 ,830,949000,830,830,
831,847450.22056 ,831,923500,831,831,
832,848740.94144 ,832,926000,832,832,
833,869361.489152 ,833,947000,833,833,
834,844788.992227 ,834,921000,834,834,
861,851744.61441 ,861,928000,861,861,
862,845347.293136 ,862,922000,862,862,
867,882081.762614 ,867,962000,867,867,
868,882081.762614 ,868,962000,868,868,
869,898776.422743 ,869,980000,869,869,
870,903016.306431 ,870,985000,870,870,
871,888500.438879 ,871,968000,871,871,
872,889717.062828 ,872,970000,872,872,
873,898776.422743 ,873,980000,873,873,
874,904861.768107 ,874,987000,874,874,
875,905982.922237 ,875,988000,875,875,
876,884893.451304 ,876,965000,876,876,
877,880414.292633 ,877,960000,877,877,
878,904142.574986 ,878,986000,878,878,
880,903016.306431 ,880,985000,880,880,
881,880740.478746 ,881,961000,881,881,
882,872427.529511 ,882,952000,882,882,
883,871356.971791 ,883,950000,883,883,
884,876955.81658 ,884,956000,884,884,
885,879979.192743 ,885,959000,885,885,
886,884893.451304 ,886,965000,886,886,
887,873571.393511 ,887,953000,887,887,
888,871356.971791 ,888,950000,888,888,
889,901669.129629 ,889,983000,889,889,
890,894273.043625 ,890,976000,890,890,
891,902658.770799 ,891,984000,891,891,
892,916935.006647 ,892,1000000,892,892,
893,871356.971791 ,893,950000,893,893,
894,908706.993161 ,894,991000,894,894,
895,871356.971791 ,895,950000,895,895,
896,880414.292633 ,896,960000,896,896,
