Id,StreetName,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
12370,Anthony Court,NA,FIVE,burwood-east,3151,20141213,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,70,20,47,N,N,N,N,45.5,72.5,0,0,3,0,46000,0,1976,0,14.4,30.7,0,27.8,1.1,0.7,1.3,1.31,975000,1290000,0,NA,0,1050000,1300000,702000
12371,Burwood Highway,NA,TWO,burwood-east,3151,20141129,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,63,34,48,N,N,Y,N,45.5,72.5,0,0,5,2,705000,480,2014,2017,11.9,24.1,0,19.4,1,1.4,1,1.29,800000,1060000,0,NA,0,1320000,1130000,705000
12372,O'Grady Street,NA,SIX,burwood-east,3151,20141129,WkEnd,SDay,WrkngDy,sold,Hse,4,1,2,66,26,38,N,N,Y,Y,45.5,72.5,0,0,0,0,0,0,0,0,11.9,24.1,0,27.8,1,0.5,1.4,1.28,0,0,0,NA,0,0,0,710000
12373,Highbury Road,NA,FIVE,burwood-east,3151,20141004,WkEnd,SDay,WrkngDy,sold,Hse,3,1,4,77,19,45,N,N,N,N,45.5,72.5,0,0,3,0,145000,0,1994,0,8.7,26.3,0.2,26.8,5.7,2.2,1.9,0.61,950000,1570000,0,NA,0,1570000,1100000,710000
12374,Banbury Street,NA,TWO,burwood-east,3151,20140918,WkDay,ThDay,WrkngDy,sold,Hse,3,1,2,60,27,42,Y,N,Y,N,45.5,72.5,0,0,3,0,740000,0,2014,0,8,13.5,0.6,27.1,1.2,0.7,1.6,0.48,925000,1230000,0,NA,0,1100000,1010000,740000
12375,Trent Court,NA,FOUR,burwood-east,3151,20140809,WkEnd,SDay,WrkngDy,sold,AptFlat,3,2,2,59,42,52,Y,N,Y,Y,45.5,72.5,0,0,3,0,243000,0,2003,0,7.1,15.2,0,19.9,0.5,0.8,1.2,1.36,925000,1230000,0,NA,0,1320000,1190000,735000
12376,Bowen Crescent,NA,THREE,burwood-east,3151,20140807,WkDay,ThDay,WrkngDy,sold,Hse,3,2,2,73,20,43,N,N,Y,Y,45.5,72.5,0,0,2,0,85000,0,1995,0,10.7,14.1,1.6,26.3,1.4,1.9,2.4,0.77,925000,1230000,0,NA,0,1320000,1460000,700000
12377,Barry Road,NA,THREE,burwood-east,3151,20140714,WkDay,MDay,WrkngDy,sold,Hse,3,1,1,60,27,42,N,N,N,N,45.5,72.5,0,0,1,0,0,0,0,0,6.9,13.5,0,26.6,1.5,0.4,1.3,0.34,975000,1290000,0,NA,0,1100000,1010000,700000
12378,Pickford Street,NA,NA,burwood-east,3151,20140712,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,62,26,43,N,N,Y,Y,45.5,72.5,0,0,3,0,43000,0,1981,0,7.3,10.4,4.4,28.3,1.5,0.8,1.9,1.31,975000,1290000,0,NA,0,1050000,1100000,703000
12379,Gareth Drive,NA,FOUR,burwood-east,3151,20140604,WkDay,WDay,WrkngDy,sold,Hse,3,1,1,72,20,43,Y,N,Y,N,45.5,72.5,0,0,2,0,120000,0,1996,0,10.7,18.7,1.6,26.7,1.1,1.5,1,0.35,1030000,1360000,0,NA,0,1010000,1460000,710000
12380,Medhurst,NA,EIGHT,burwood-east,3151,20140526,WkDay,MDay,WrkngDy,sold,Hse,6,2,2,66,30,44,Y,N,Y,N,45.5,72.5,0,0,7,1,680000,600,2009,2007,11.8,22.2,0,20,0.4,1.3,1.7,1.56,1120000,1510000,0,NA,0,1170000,1750000,715000
12381,Pickford Street,NA,NINE,burwood-east,3151,20140523,WkDay,FDay,WrkngDy,sold,Hse,3,1,3,62,26,43,N,N,N,N,45.5,72.5,0,0,5,0,631500,0,2011,0,15.2,19.8,6.2,28.4,1.6,0.9,1.9,1.32,975000,1290000,0,NA,0,1050000,1100000,720000
12382,Blackburn Road,NA,SEVEN,burwood-east,3151,20140413,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,70,20,47,N,N,Y,Y,45.5,72.5,0,0,2,0,45000,0,1976,0,11.7,20.3,0,27.6,1.8,1.6,1.7,1.36,925000,1230000,0,NA,0,1130000,1150000,707000
12383,Highview Grove,NA,SEVEN,burwood-east,3151,20140222,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,65,31,48,Y,N,Y,Y,45.5,72.5,0,0,4,1,722500,470,2010,2011,14.1,19.3,0.6,20.1,0.1,0.7,0.4,0.84,1030000,1360000,0,NA,0,1130000,985000,730000
12403,Sugarloaf Close,NA,THREE,burwood-east,3151,20170926,WkDay,TuDay,WrkngDy,sold,Villa,3,1,1,73,17,40,N,N,Y,N,45.5,72.5,0,0,5,0,607000,0,2015,0,5,15.1,0.4,26.3,1.6,1.8,1.4,0.94,0,0,0,NA,0,898000,865000,721000
12404,Robinson Drive,NA,NINE,burwood-east,3151,20151121,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,74,20,42,N,N,N,N,45.5,72.5,0,0,2,2,65000,365,1996,2010,12.2,17.5,3.6,28,1.8,0.6,3.1,1.23,1000000,1530000,0,NA,0,1270000,1280000,705000
12405,Worthing Avenue,NA,TWO,burwood-east,3151,20141206,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,60,27,42,Y,N,N,N,45.5,72.5,0,0,2,0,49000,0,1979,0,15.4,22.7,2.6,26.4,1.8,0.2,1.6,0.24,975000,1290000,0,NA,0,1010000,1380000,750000
12406,Tainton Road,NA,SEVEN,burwood-east,3151,20141018,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,64,32,43,N,N,Y,N,45.5,72.5,0,0,1,1,0,540,0,2017,8,24.6,0,27.6,0.8,0.6,1.1,1.1,925000,1230000,0,NA,0,1150000,1130000,741000
12407,Bellevue Avenue,TWO,TWO,burwood-east,3151,20140715,WkDay,TuDay,WrkngDy,sold,TwnHse,3,2,2,70,29,53,Y,N,Y,N,45.5,72.5,0,0,1,0,0,0,0,0,6.9,13.2,0,27.2,1.2,1,1.2,0.87,845000,1110000,0,NA,0,916000,961000,750000
12408,Ballantyne Street,TWO,FIVE,burwood-east,3151,20140705,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,2,62,26,43,N,N,N,N,45.5,72.5,0,0,0,0,0,0,0,0,8.9,15.3,0,28.3,1,1.1,2.2,1.4,0,0,0,NA,0,0,0,700000
12409,Dorothy Street,NA,SIX,burwood-east,3151,20140224,WkDay,MDay,WrkngDy,sold,Hse,4,1,2,65,31,48,N,N,Y,Y,45.5,72.5,0,0,1,1,0,420,0,2014,13.4,23.9,0,27,0.7,0.8,0.6,0.58,1030000,1360000,0,NA,0,1750000,1150000,727000
12410,Holland Road,NA,NINE,burwood-east,3151,20140125,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,60,15,34,N,Y,N,N,45.5,72.5,0,0,4,2,245000,450,2000,2008,15.1,19.1,5.4,27.7,0.7,1.1,0.7,1.26,1030000,1360000,0,NA,0,1050000,1300000,700000
12420,Mahoneys Road,NA,TWO,burwood-east,3151,20151022,WkDay,ThDay,WrkngDy,sold,Hse,3,1,2,62,26,43,N,N,Y,Y,45.5,72.5,0,0,7,1,600180,420,2014,2010,11.4,16.7,7,28.2,1.1,0.7,1.7,1.4,800000,1060000,0,NA,0,1100000,1160000,777000
12421,Alice Street,NA,FIVE,burwood-east,3151,20150905,WkEnd,SDay,WrkngDy,sold,Hse,2,1,1,60,27,42,Y,N,Y,Y,45.5,72.5,0,0,2,0,45300,0,1978,0,10.2,14,0,26.6,1.3,0.2,1.3,0.31,0,0,0,NA,0,888000,1510000,756000
12422,Bowen Crescent,NA,ONE,burwood-east,3151,20141129,WkEnd,SDay,WrkngDy,sold,Hse,4,2,2,73,20,43,Y,N,Y,N,45.5,72.5,0,0,4,0,371500,0,2001,0,11.9,24.1,0,26.3,1.5,1.9,2.5,0.77,975000,1290000,0,NA,0,1750000,1350000,793000
12424,Mahoneys Road,ONE,EIGHT,burwood-east,3151,20171209,WkEnd,SDay,WrkngDy,sold,BlkUnt,3,2,2,62,26,43,Y,N,Y,N,45.5,72.5,0,0,2,0,107000,0,1985,0,12.7,23,0,28.1,1.2,0.8,1.8,1.47,0,0,0,NA,0,900890,768000,795000
12425,Sitar Court,TWO,TWO,burwood-east,3151,20170401,WkEnd,SDay,WrkngDy,sold,AptFlat,3,1,2,65,31,48,Y,N,N,N,45.5,72.5,0,0,2,1,304400,230,2006,2003,10,19,0,27,0.8,1,0.8,0.54,390000,982000,0,NA,0,653000,723000,780000
12426,Royton Street,SIX,FIVE,burwood-east,3151,20170331,WkDay,FDay,WrkngDy,sold,TwnHse,3,2,1,71,27,46,N,N,N,N,45.5,72.5,0,0,0,0,0,0,0,0,10.1,17.9,2.8,20.4,1.3,0.4,1,1.45,0,0,0,NA,0,0,0,775000
12427,Bettina Street,NA,NINE,burwood-east,3151,20170318,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,64,19,46,N,N,Y,Y,45.5,72.5,0,0,1,0,0,0,0,0,12.4,30.8,0,20.3,1.3,1,1,0.68,925000,1230000,0,NA,0,0,0,788000
12428,Royton Street,NINE,ONE,burwood-east,3151,20161008,WkEnd,SDay,WrkngDy,sold,Hse,3,2,1,71,27,46,N,N,Y,N,45.5,72.5,0,0,2,0,738000,0,2013,0,9.7,16.9,0,20.4,1.4,0.5,1.2,1.5,690000,910000,0,NA,0,0,0,761888
12429,Blackburn Road,NA,NA,burwood-east,3151,20150718,WkEnd,SDay,WrkngDy,sold,TwnHse,4,2,2,67,28,48,N,N,Y,N,45.5,72.5,0,0,4,0,290000,0,2002,0,6.1,11.5,0.4,26.1,0.9,0.8,0.9,1.11,835000,1190000,0,NA,0,841000,825000,780000
12430,Banbury Street,NA,NA,burwood-east,3151,20150228,WkEnd,SDay,WrkngDy,sold,HseVacLnd,3,1,2,60,27,42,N,N,Y,Y,45.5,72.5,0,0,5,1,531000,470,2007,2017,17.9,32.3,0,27.1,1.2,0.7,1.6,0.46,975000,1290000,0,NA,0,1100000,1010000,800000
12431,Highbury Road,NA,SEVEN,burwood-east,3151,20150228,WkEnd,SDay,WrkngDy,sold,Hse,3,1,3,60,27,42,N,N,Y,Y,45.5,72.5,0,0,4,1,581000,430,2011,2015,17.9,32.3,0,26.5,5.4,2.5,1.6,0.32,967000,1530000,0,NA,0,1010000,1380000,762000
12432,Orloff Court,NA,FOUR,burwood-east,3151,20141206,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,69,27,49,N,N,N,N,45.5,72.5,0,0,3,0,85500,0,1986,0,15.4,22.7,2.6,25.8,1.1,0.4,2.4,1.51,1080000,1430000,0,NA,0,1320000,1460000,790000
12433,Tainton Road,NA,THREE,burwood-east,3151,20141206,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,64,32,43,N,N,N,N,45.5,72.5,0,0,1,0,0,0,0,0,15.4,22.7,2.6,27.5,1.4,0.6,1.1,1.07,925000,1230000,0,NA,0,1050000,1050000,760000
12434,Aston Court,NA,FOUR,burwood-east,3151,20141206,WkEnd,SDay,WrkngDy,sold,Hse,4,1,2,75,10,41,Y,N,N,N,45.5,72.5,0,0,1,0,0,0,0,0,15.4,22.7,2.6,27.3,0.9,0.3,2.5,0.92,975000,1290000,0,NA,0,1100000,1100000,770000
12435,Gareth Drive,NA,SIX,burwood-east,3151,20141108,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,72,20,43,Y,N,Y,N,45.5,72.5,0,0,3,0,157000,0,1994,0,18,34.9,0,26.8,1,1.4,0.9,0.4,1030000,1360000,0,NA,0,1010000,1460000,780000
12436,Pontin Court,NA,FIVE,burwood-east,3151,20140913,WkEnd,SDay,WrkngDy,sold,Hse,5,2,1,72,20,43,N,N,N,N,45.5,72.5,0,0,3,0,523000,0,2009,0,5.7,17.2,0,26.7,0.8,1.1,1.2,0.46,1120000,1510000,0,NA,0,1750000,1410000,789000
12437,Worthing Avenue,NA,NA,burwood-east,3151,20140823,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,71,33,40,N,N,N,N,45.5,72.5,0,0,4,1,550000,390,2011,2011,7.4,20.7,0,26.7,1.5,0.4,1.4,0.38,975000,1290000,0,NA,0,1100000,1010000,760000
12438,Sevenoaks Road,NA,ONE,burwood-east,3151,20140625,WkDay,WDay,WrkngDy,sold,Hse,3,2,2,79,17,34,N,N,Y,N,45.5,72.5,0,0,5,0,595000,0,2010,0,8.8,15.8,7,26.7,0.6,0.6,1.9,0.49,1030000,1360000,0,NA,0,1100000,950000,755339
12439,Tricia Court,NA,FOUR,burwood-east,3151,20140621,WkEnd,SDay,WrkngDy,sold,Hse,4,1,2,72,20,43,N,N,Y,Y,45.5,72.5,0,0,4,1,165000,480,1997,2016,11.7,15.9,0,26.8,1.1,1.2,1.1,0.28,1030000,1360000,0,NA,0,1750000,1410000,775000
12440,Hutchinson Street,NA,SIX,burwood-east,3151,20140531,WkEnd,SDay,WrkngDy,sold,Hse,3,2,2,64,32,43,N,N,Y,Y,45.5,72.5,0,0,2,0,34950,0,1976,0,7.5,18.9,0,27.5,1.4,0.5,1.1,1,975000,1290000,0,NA,0,1300000,1050000,800000
12441,Banbury Street,NA,EIGHT,burwood-east,3151,20140510,WkEnd,SDay,WrkngDy,sold,Hse,4,1,2,60,27,42,N,N,N,N,45.5,72.5,0,0,1,0,0,0,0,0,12.9,16.3,11,27.1,1.2,0.7,1.5,0.52,975000,1290000,0,NA,0,1150000,1130000,761000
12442,Kenley Court,NA,THREE,burwood-east,3151,20140116,WkDay,ThDay,WrkngDy,sold,Hse,3,1,1,72,20,43,Y,N,Y,N,45.5,72.5,0,0,2,0,144500,0,1990,0,24.7,43.4,0,26.9,0.6,1.5,1,0.56,1080000,1430000,0,NA,0,1320000,1010000,780000
12457,Worthing Avenue,NA,TWO,burwood-east,3151,20141206,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,60,27,42,Y,N,N,N,45.5,72.5,0,0,2,0,49000,0,1979,0,15.4,22.7,2.6,26.4,1.8,0.2,1.6,0.24,975000,1290000,0,NA,0,1010000,1380000,750000
