Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,Price
16716,NA,5,notting hill,3168,20150727,WkDay,MDay,WrkngDy,sold,3,1,2,62,25,47,N,N,Y,N,71,38,718,1980,3,1,410000,340,2008,2010,6.2,13.9,0.8,25.4,1.8,2,2.2,7.52,880000,1170000,718,19.1,GntlyInclnd,NA,1100000,1080000,850000
16717,1,5,clayton,3168,20171118,WkEnd,SDay,WrkngDy,sold,5,2,2,14,87,74,Y,N,N,N,59.5,107.5,NA,1960,3,2,389000,420,2012,2011,16.1,28.1,0,24.9,3.2,0.8,1.7,1.39,NA,NA,221,NA,NrlyLvl,852000,340000,347500,860000
16718,3,3,clayton,3168,20170925,WkDay,MDay,WrkngDy,sold,4,3,2,16,67,74,Y,N,Y,Y,59.5,107.5,NA,2012,2,0,570000,NA,2013,NA,10.3,14.2,1.6,22.3,2.4,0.2,1.7,1.06,NA,NA,870,30.1,NrlyLvl,833667,739000,770000,860000
16719,1,2,clayton,3168,20170801,WkDay,TuDay,WrkngDy,sold,4,2,3,34,66,73,Y,N,Y,N,59.5,107.5,329,2009,2,2,580000,600,2011,2016,3.5,15.5,0,24.8,29.4,1.1,10,1.77,NA,NA,736,20.6,NrlyLvl,974800,1100000,1140000,860000
16720,1,4,clayton,3168,20160910,WkEnd,SDay,WrkngDy,sold,3,2,2,60,31,47,N,N,Y,Y,59.5,107.5,NA,2011,1,1,NA,515,NA,2011,11.5,14.3,9.4,23.5,1.3,0.6,1.4,1.14,800000,1060000,263,NA,NrlyLvl,800667,635000,777000,871500
16721,NA,6,clayton,3168,20160618,WkEnd,SDay,WrkngDy,sold,3,1,3,44,54,48,Y,N,N,N,59.5,107.5,727,1960,1,0,NA,NA,NA,NA,10,12.7,8.6,22.2,7.7,10.3,9.5,0.26,880000,1170000,736,18.6,GntlyInclnd,NA,1120000,828000,895000
16722,NA,8,clayton,3168,20160409,WkEnd,SDay,WrkngDy,sold,4,2,2,60,31,47,Y,N,Y,N,59.5,107.5,585,1960,2,1,130000,570,1997,2016,10.4,22.3,0,23,1.7,0.3,1.2,1.22,925000,1230000,589,15,NrlyLvl,1069333,910000,1440000,880000
16723,NA,5,clayton,3168,20151206,WkEnd,SDay,WrkngDy,sold,3,1,2,58,46,51,N,N,Y,N,59.5,107.5,697,1960,1,0,NA,NA,NA,NA,15.3,29.8,0,22.2,1.7,0.6,1.9,0.78,925000,1230000,698,17.4,NrlyLvl,1071667,950000,828000,875000
16725,NA,4,notting hill,3168,20170126,WkDay,ThDay,HliDy,sold,3,1,1,62,25,47,N,N,Y,N,71,38,731,1977,1,0,NA,NA,NA,NA,16.4,21.2,0,25.3,2.8,1.8,2,7.41,845000,1110000,724,17.2,NrlyLvl,NA,1100000,1080000,888000
16726,NA,2,notting hill,3168,20160827,WkEnd,SDay,WrkngDy,sold,4,1,2,0,28,50,N,N,N,N,71,38,757,1980,1,2,NA,380,NA,2016,9.3,16.3,0,23.7,1.2,0.8,3.2,7.23,880000,1170000,752,NA,GntlyInclnd,NA,1440000,990000,866000
