Id,StreetName,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
14703,Grandview Grove,NA,SIX,oakleigh,3166,20150730,WkDay,ThDay,WrkngDy,sold,Hse,3,1,2,82,14,33,Y,N,Y,N,98,59,676,1980,1,0,0,0,0,0,8.6,12.3,0,20.2,0.3,0.3,1.5,0.65,975000,1290000,16.0,GntlyInclnd,1192296,950000,970000,905000
14704,George Street,NA,FIVE,oakleigh,3166,20150725,WkEnd,SDay,WrkngDy,sold,Hse,2,1,1,66,22,42,Y,N,Y,N,98,59,543,1979,2,3,180000,330,1999,2015,9.4,13.3,0.8,20.5,0.2,0.2,0.4,0.9,1030000,1360000,15.2,NrlyLvl,1094333,1100000,1420000,930000
14705,Grandview Grove,TWO,NA,oakleigh,3166,20150721,WkDay,TuDay,WrkngDy,sold,TwnHse,4,2,2,82,14,33,N,N,N,N,98,59,670,2015,0,0,0,0,0,0,4.2,17,0,20.6,0.3,0.3,1.4,0.69,0,0,15.8,GntlyInclnd,0,0,0,940000
14706,Haughton Road,NA,TWO,oakleigh,3166,20150627,WkEnd,SDay,WrkngDy,sold,Hse,2,1,1,64,30,48,N,N,N,N,98,59,701,1955,1,0,0,0,0,0,8,14.1,0,20.9,1.4,0.3,1.3,0.52,1030000,1360000,15.3,NrlyLvl,1025167,1100000,1260000,910000
14707,Wilson Street,NA,NA,oakleigh,3166,20150530,WkEnd,SDay,WrkngDy,sold,Hse,3,2,1,64,30,48,Y,N,N,N,98,59,583,2015,1,0,0,0,0,0,11,17.3,0,20.7,0.8,0.5,1.2,0.75,1180000,1580000,14.0,NrlyLvl,797333,1120000,878000,912000
14708,Henry Street,NA,NINE,oakleigh,3166,20150418,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,66,22,42,Y,N,Y,N,98,59,543,1980,4,4,293000,450,2002,2011,13.5,21.9,3.6,20.6,2,0.5,1.3,0.76,1030000,1360000,15.2,NrlyLvl,806667,960000,1100000,918000
14709,Atherton Road,NA,FIVE,oakleigh,3166,20150328,WkEnd,SDay,WrkngDy,sold,Hse,3,1,2,66,16,41,N,N,Y,N,98,59,668,2015,2,1,925500,350,2015,2015,12.7,19.1,0,20,1,1,0.081,0.58,0,0,15.9,NrlyLvl,1675000,1080000,1210000,925500
14710,Davey Avenue,NA,FOUR,oakleigh,3166,20140918,WkDay,ThDay,WrkngDy,sold,Hse,4,2,2,68,26,44,Y,Y,Y,N,98,59,585,1983,3,0,95000,0,1987,0,8,13.5,0.6,19.6,0.6,0.2,0.8,0.92,1180000,1580000,13.6,NrlyLvl,1311667,1080000,385000,937500
14712,Stewart Road,NA,FIVE,oakleigh,3166,20171026,WkDay,ThDay,WrkngDy,sold,TwnHse,3,2,2,45,49,50,Y,N,Y,Y,98,59,0,0,4,0,760000,0,2015,0,12.9,16.8,0.2,23,0.2,0.2,1.5,0.89,765000,1010000,0,NA,0,1240000,1120000,900000
14713,Leumear Street,ONE,EIGHT,oakleigh,3166,20170819,WkEnd,SDay,WrkngDy,sold,TwnHse,3,2,1,61,32,47,Y,N,N,N,98,59,0,0,3,0,498000,0,2010,0,5.9,11.8,7.2,23.1,0.8,1.7,1.1,1.12,0,0,0,NA,0,675850,712000,905000
