Id,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,LandArea,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,Price
15433,5,124,clayton,3168,20150808,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,34,66,73,N,N,N,N,59.5,107.5,1090,1970,1,2,NA,260,NA,2012,8.8,12.6,0.4,24.9,2.1,2.1,9.9,1.9,305000,395000,NA,NA,NA,373333,640000,360000,316000
15434,3,24,clayton,3168,20150520,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,30,72,52,N,N,N,N,59.5,107.5,1144,1970,2,0,285000,NA,2011,NA,13.6,18.1,2.4,24.6,0.9,0.9,1.2,0.99,335000,440000,NA,NA,NA,NA,468000,640000,319000
15435,6,126,clayton,3168,20150127,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,1,34,66,73,N,N,N,N,59.5,107.5,NA,NA,4,3,310000,300,2013,2013,11.7,19.1,0.6,24.9,2.1,2.1,9.9,1.93,315000,415000,NA,NA,NA,NA,545000,558000,306888
15437,15,660,notting hill,3168,20171201,WkDay,FDay,WrkngDy,sold,AptFlat,1,1,1,0,88,58,N,N,N,N,71,38,NA,NA,1,0,NA,NA,NA,NA,21.5,23.5,1.8,23.7,6.5,0.9,9.8,7.18,NA,NA,NA,NA,NA,NA,NA,NA,345500
15438,8,2,clayton,3168,20170711,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,1,0,79,47,Y,Y,N,N,59.5,107.5,2555,2000,2,3,268000,335,2008,2011,6.9,14.3,0.4,24.7,1.6,1.3,1.9,1.14,305000,395000,NA,NA,NA,NA,640000,340000,345000
15439,12,2,clayton,3168,20170212,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,0,79,47,Y,Y,N,N,59.5,107.5,2555,2000,1,4,NA,330,NA,2013,15.1,19.9,2,24.7,1.6,1.3,1.9,1.14,305000,395000,NA,NA,NA,NA,640000,340000,325000
15440,1,124,clayton,3168,20160819,WkDay,FDay,WrkngDy,sold,AptFlat,2,1,1,34,66,73,N,N,Y,Y,59.5,107.5,1090,1970,5,2,340000,170,2010,2004,15.3,16.4,0.2,24.9,2.1,2.1,9.9,1.9,335000,440000,NA,NA,NA,373333,640000,360000,350000
15441,27,1,clayton,3168,20160809,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,1,0,79,47,Y,Y,Y,N,59.5,107.5,3170,2000,1,3,NA,300,NA,2015,9.7,18.9,0,24.6,1.6,1.3,1.9,1.15,290000,375000,NA,NA,NA,NA,640000,660000,312000
15442,3,2,clayton,3168,20160725,WkDay,MDay,WrkngDy,sold,AptFlat,1,1,1,57,54,55,N,N,Y,Y,59.5,107.5,51,1960,2,1,65000,320,1998,2016,6.3,14.3,0,24.2,0.2,0.07,0.7,1.36,315000,415000,NA,NA,NA,522963,640000,798000,340000
15443,31,2,clayton,3168,20160621,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,1,0,79,47,N,N,N,N,59.5,107.5,3669,2000,3,4,320000,1690,2011,2011,10.4,14.7,3.2,24.6,1.6,1.3,1.9,1.15,325000,603000,NA,NA,NA,NA,640000,340000,325000
15444,6,46,clayton,3168,20160526,WkDay,ThDay,WrkngDy,sold,AptFlat,2,1,1,29,80,80,Y,N,N,N,59.5,107.5,1722,1960,3,2,125000,340,2001,2014,10.3,12.5,12.4,25.2,2.5,1,2,1.29,315000,415000,NA,NA,NA,NA,660000,340000,335000
15445,27,2,clayton,3168,20160516,WkDay,MDay,WrkngDy,sold,AptFlat,2,1,1,0,79,47,N,Y,Y,Y,59.5,107.5,3669,2000,2,0,NA,NA,2007,NA,7.7,19.6,0,24.6,1.6,1.3,1.9,1.15,325000,640000,NA,NA,NA,NA,640000,340000,318000
15446,22,1,clayton,3168,20160418,WkDay,MDay,WrkngDy,sold,AptFlat,2,1,1,0,79,47,Y,Y,Y,Y,59.5,107.5,2637,2000,4,2,311000,250,2011,2006,9.8,25,0,24.7,1.6,1.3,1.9,1.15,315000,415000,NA,NA,NA,NA,640000,340000,335000
15447,16,1,clayton,3168,20160119,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,0,0,79,47,N,Y,N,N,59.5,107.5,3170,2000,2,2,310000,320,2011,2010,17.9,30.9,0,24.6,1.6,1.3,1.9,1.15,305000,395000,NA,NA,NA,NA,640000,340000,320000
15448,8,64,clayton,3168,20151125,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,14,87,74,N,N,N,N,59.5,107.5,1003,1960,2,0,115000,NA,1998,NA,13.5,33.3,0,25.3,1.7,1.7,10.5,1.3,315000,415000,NA,NA,NA,NA,468000,640000,325000
15449,1,3,clayton,3168,20150805,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,0,43,57,53,N,N,N,N,59.5,107.5,1001,1965,2,2,64900,250,1988,2009,6.6,10.8,1,23.6,0.4,0.4,0.4,1.21,385000,660000,NA,NA,NA,NA,468000,640000,300000
15450,110,28,clayton,3168,20150728,WkDay,TuDay,WrkngDy,sold,AptFlat,1,1,1,29,70,65,N,N,N,N,59.5,107.5,3558,2010,2,1,295000,340,2014,2016,7.9,14.4,0,24.3,0.8,0.2,1.2,0.55,NA,NA,708,17.2,NrlyLvl,NA,468000,640000,310000
15451,1,2,clayton,3168,20150603,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,0,79,47,N,Y,N,N,59.5,107.5,2548,2000,1,2,NA,NA,NA,2011,8.1,13.6,0.8,24.7,1.6,1.3,1.9,1.15,335000,440000,NA,NA,NA,NA,566500,1300000,340000
15452,6,24,clayton,3168,20150518,WkDay,MDay,WrkngDy,sold,AptFlat,2,1,1,30,72,52,N,N,N,N,59.5,107.5,1144,1970,2,0,275000,NA,2011,NA,7.2,20.4,0,24.6,0.9,0.9,1.2,0.99,325000,603000,NA,NA,NA,NA,468000,640000,314800
15453,4,43,clayton,3168,20150120,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,1,14,87,74,N,N,N,N,59.5,107.5,196,2010,3,0,360250,NA,2012,NA,13,30.4,0,24.7,3.1,0.7,1.6,1.53,385000,505000,NA,NA,NA,373333,640000,640000,350000
15454,2,126,clayton,3168,20140826,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,1,34,66,73,N,N,N,N,59.5,107.5,NA,NA,5,3,315000,325,2014,2011,7,17.6,0.2,24.9,2.1,2.1,9.9,1.93,305000,395000,NA,NA,NA,373333,640000,360000,315000
15456,2,2,clayton,3168,20140610,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,0,55,36,52,N,N,Y,Y,59.5,107.5,NA,1970,3,0,289000,NA,2009,NA,9.1,18.6,0,22.7,0.8,0.7,1.3,0.97,430000,560000,NA,NA,NA,NA,640000,660000,340000
15457,2,7880,clayton,3168,20140514,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,14,87,74,N,N,N,N,59.5,107.5,1599,1970,7,3,NA,345,2011,2016,8.6,21.1,0,25.4,29.7,1.6,10.4,1.41,305000,395000,NA,NA,NA,NA,468000,640000,330000
15458,23,1,clayton,3168,20140512,WkDay,MDay,WrkngDy,sold,AptFlat,2,1,1,0,79,47,N,Y,Y,Y,59.5,107.5,2637,2000,3,0,271000,NA,2007,NA,7.7,18.7,0,24.7,1.6,1.3,1.9,1.15,335000,440000,NA,NA,NA,NA,640000,340000,340000
15459,2,2,clayton,3168,20140413,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,0,79,47,N,Y,N,N,59.5,107.5,3669,2000,3,4,321000,340,2009,2010,11.7,20.3,0,24.6,1.6,1.3,1.9,1.15,350000,460000,NA,NA,NA,NA,640000,340000,340000
15460,2,10,clayton,3168,20140315,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,29,80,80,N,N,Y,N,59.5,107.5,603,1970,3,1,75000,345,2000,2012,16.6,29.5,0,25.2,2.5,1,2.1,1.34,335000,440000,NA,NA,NA,NA,660000,340000,310000
15508,35,24,notting hill,3168,20171020,WkDay,FDay,WrkngDy,sold,AptFlat,1,1,1,0,88,58,N,N,N,N,71,38,3245,2009,2,2,310000,300,2011,2016,11.3,16.2,2.6,23.3,0.7,0.7,2.5,7.15,NA,NA,723,NA,NrlyLvl,NA,275000,340500,310000
15509,15,3,notting hill,3168,20171012,WkDay,ThDay,WrkngDy,sold,AptFlat,2,1,2,0,67,55,N,N,N,N,71,38,50,1960,4,6,305000,350,2014,2017,10.5,19.2,10,23.7,1,0.3,2.7,7.26,NA,NA,2475,NA,GntlyInclnd,NA,415000,360000,337000
15510,44,2,notting hill,3168,20170725,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,1,0,88,58,N,N,Y,Y,71,38,NA,NA,2,3,350000,330,2009,2014,9.8,17.2,0,23.3,0.7,0.7,2.5,7.15,NA,NA,723,NA,GntlyInclnd,NA,337000,415000,345000
15511,6,24,notting hill,3168,20170513,WkEnd,SDay,WrkngDy,sold,Hse,1,1,1,0,88,58,Y,N,N,N,71,38,3245,2009,2,2,340000,340,2010,2015,8.4,15.6,0.2,23.3,0.7,0.7,2.5,7.15,272000,400000,723,NA,NrlyLvl,NA,275000,340500,315000
15512,2,213,notting hill,3168,20161202,WkDay,FDay,WrkngDy,sold,AptFlat,2,1,2,0,67,55,N,N,Y,Y,71,38,1826,2000,1,0,NA,NA,NA,NA,13,21.6,0,23.7,0.6,0.3,2.7,7.36,315000,415000,1821,NA,NA,NA,337000,415000,345000
15513,11,662,notting hill,3168,20161010,WkDay,MDay,WrkngDy,sold,AptFlat,2,2,1,0,88,58,N,N,N,N,71,38,NA,NA,0,0,NA,NA,NA,NA,13,16.8,0.8,23.5,6.6,1,10,7.32,NA,NA,NA,NA,NA,NA,NA,NA,302500
