Id,StreetName,UnitNumber,StreetNumber,SuburbName,SuburbCode,SoldDate,DayOfWeek,DayType,HolidayStatus,SoldStatus,PropertyType,Bed,Bath,Garage,LongTermResidentPercent,RentedResidentPercent,SingleResident,Garden,Pool,Heating,Cooling,AvgDaysOnMarketSuburb,PropertySoldInSuburb,LandSize,BuildYear,NumOfTimesSold,NumOfTimesRented,LastSoldPrice,LastRentedPrice,LastSoldYear,LastRentedYear,MinTemp,MaxTemp,AvgRainfall,DistanceCBD,DistanceRailwayStation,DistanceBusStation,DistanceShoppingMall,DistanceSchool,PriceLowEnd,PriceHighEnd,Frontage,Slop,ExternalPricePrediction,SimilarPropertyPrice1,SimilarPropertyPrice2,SalePrice
134,Station Street,ONE,NA,burwood,3125,20160827,WkEnd,SDay,WrkngDy,sold,Hse,2,1,1,53,43,59,Y,N,N,N,108.5,116.5,0,1975,2,0,54500,0,1983,0,9.3,16.3,0,17.9,0.7,1,3.8,0.93,470000,615000,0,NA,0,670000,758000,525500
135,Highbury Road,SEVEN,FIVE,burwood,3125,20160630,WkDay,ThDay,WrkngDy,sold,AptFlat,2,2,1,56,35,52,Y,N,Y,N,108.5,116.5,1188,2009,1,1,0,395,0,2012,10.3,11.7,0,25.4,3.4,5.3,3.6,1.56,450000,585000,0,NA,546000,739000,439000,530000
136,McCubbin Street,FOUR,THREE,burwood,3125,20160112,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,1,64,30,50,N,N,N,N,108.5,116.5,99,1970,4,1,420000,375,2010,2011,17.1,24.8,0.8,18.7,1.1,0.4,0.5,1.56,495000,645000,0,NA,0,670000,739000,538000
137,Somers Street,TWO,THREE,burwood,3125,20150520,WkDay,WDay,WrkngDy,sold,Hse,2,1,1,64,15,53,Y,N,N,N,108.5,116.5,905,1960,2,1,218000,350,2003,2011,13.6,18.1,2.4,16.5,0.7,0.6,1,2.54,1300000,1740000,0,NA,0,653000,670000,535000
138,Highbury Road,SIX,FIVE,burwood,3125,20150514,WkDay,ThDay,WrkngDy,sold,AptFlat,3,2,1,56,35,52,N,N,N,N,108.5,116.5,1174,2009,2,1,440000,465,2009,2012,7.3,14.6,4.4,25.4,3.4,5.3,3.6,1.56,575000,750000,0,NA,540000,900890,653000,525088
139,La Frank Street,ONE,EIGHT,burwood,3125,20150307,WkEnd,SDay,WrkngDy,sold,AptTwHse,2,1,1,31,62,79,Y,N,Y,N,108.5,116.5,0,1970,1,0,0,0,0,0,15.4,22.6,0.2,18.5,0.4,0.7,0.6,1.56,0,0,0,NA,0,1080000,1200000,502500
140,Middleborough Road,SIX,ONE,burwood,3125,20150217,WkDay,TuDay,WrkngDy,sold,AptFlat,2,1,0,44,65,62,N,N,Y,Y,108.5,116.5,0,0,3,2,188150,330,2002,2010,17.6,20.6,0,18.8,0.9,1.8,1.4,1.88,470000,615000,0,NA,645333,739000,439000,530000
141,213/8 Yarra Bing Crescent,NA,NA,burwood,3125,20150205,WkDay,ThDay,WrkngDy,sold,Hse,2,1,1,66,48,68,N,N,N,N,108.5,116.5,2593,0,0,0,0,0,0,0,13.3,24.2,0,19.1,1.6,0.6,1.8,2.54,0,0,0,GntlyInclnd,0,0,0,510000
142,Aylwin Avenue,TWO,NA,burwood,3125,20141112,WkDay,WDay,WrkngDy,sold,AptFlat,2,1,1,54,35,47,N,N,Y,N,108.5,116.5,1045,1976,2,2,90000,420,1988,2018,7.9,22.8,0,16.4,0.9,0.6,0.9,2.16,415000,985000,18.9,NrlyLvl,712667,653000,670000,550000
180,Yarra Bing Crescent,SIX,SIX,burwood,3125,20161215,WkDay,ThDay,WrkngDy,sold,AptFlat,2,1,1,66,48,68,N,N,Y,Y,108.5,116.5,2558,2011,1,0,0,0,0,0,11.7,18.6,0,19.5,1.6,0.1,1.7,2.47,470000,615000,0,GntlyInclnd,0,670000,739000,520000
187,Sixth Avenue,THREE,SEVEN,burwood,3125,20160924,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,72,14,37,N,N,N,N,108.5,116.5,0,1970,7,1,420000,220,2015,2005,10,20.1,0,17.7,1.1,0.7,1.3,1.5,0,0,0,NA,0,840000,780000,580000
188,Fulton Crescent,TWO,FOUR,burwood,3125,20160819,WkDay,FDay,WrkngDy,sold,AptFlat,2,1,1,69,26,42,N,N,Y,Y,108.5,116.5,0,1960,3,1,319000,321,2007,2011,15.3,16.4,0.2,19.4,1.8,0.5,0.4,2.21,520000,680000,0,NA,693667,670000,739000,560600
189,Gracehill Avenue,NA,FOUR,burwood,3125,20160618,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,64,30,50,Y,N,N,N,108.5,116.5,1183,1999,4,0,138000,0,1998,0,10,12.7,8.6,20.2,1.6,0.7,1.3,1.18,0,0,0,NA,638167,1080000,1200000,600000
190,Somers Street,EIGHT,SIX,burwood,3125,20151212,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,54,35,47,N,N,Y,Y,108.5,116.5,132,1960,4,6,415000,320,2009,2011,10.1,18.3,2,16,0.2,0.1,0.6,2.12,495000,645000,0,NA,0,653000,670000,600000
191,Wridgway Avenue,TWO,SEVEN,burwood,3125,20150924,WkDay,ThDay,WrkngDy,sold,Hse,2,1,2,48,41,66,N,N,Y,Y,108.5,116.5,176,2000,2,0,515000,0,2011,0,5.1,14.3,0,18.1,2.1,0.4,1.4,1.23,1030000,1360000,0,GntlyInclnd,0,898000,721000,600000
192,Sixth Avenue,TWO,SEVEN,burwood,3125,20150523,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,72,14,37,Y,N,N,N,108.5,116.5,0,1970,4,2,459000,390,2012,2017,10.4,13.3,0,17.7,1.1,0.7,1.3,1.7,460000,985000,0,NA,820667,670000,758000,555000
196,Middleborough Road,THREE,ONE,burwood,3125,20170506,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,44,65,62,N,N,Y,Y,108.5,116.5,0,0,1,1,0,400,0,2017,9.6,20,0.2,18.8,0.9,1.8,1.4,1.91,495000,645000,0,NA,458000,739000,439000,580000
197,Gillard Street,ONE,SIX,burwood,3125,20160917,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,47,48,71,Y,N,N,N,108.5,116.5,385,1950,1,0,0,0,0,0,11.1,19.8,0,17.6,1,0.5,2.2,1.09,545000,715000,0,NA,0,1200000,950000,570000
198,Somers Street,TWO,SIX,burwood,3125,20160903,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,54,35,47,Y,N,N,N,108.5,116.5,0,0,3,0,93000,0,1996,0,10,15.7,0.2,16,0.2,0.1,0.6,2.14,545000,715000,0,NA,0,653000,670000,600000
199,Warrigal Road,TWO,THREE,burwood,3125,20160820,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,1,64,21,45,Y,N,Y,N,108.5,116.5,0,1970,3,0,132000,0,1991,0,6.9,13.6,9.4,17.3,0.6,0.7,0.6,1.21,545000,715000,0,NA,0,350000,390000,585000
200,Central Avenue,SIX,FIVE,burwood,3125,20160604,WkEnd,SDay,WrkngDy,sold,AptFlat,2,1,0,65,23,42,N,N,N,N,108.5,116.5,0,0,2,0,265000,0,2003,0,9.8,13.4,6.2,15.8,0.3,0.6,0.5,1.15,575000,750000,0,NA,0,541500,720000,600000
202,Station Street,NA,SEVEN,burwood,3125,20140830,WkEnd,SDay,WrkngDy,sold,Hse,3,1,1,53,30,64,N,N,N,N,108.5,116.5,363,1950,1,1,0,450,0,2016,10.4,21.1,0,18.4,1.4,1.4,4.4,2.24,690000,910000,17.4,GntlyInclnd,1055000,1130000,1410000,596000
